supplier_code,supplier_name,address,zipcode,industry_code,industry_desc,supplier_group,payment_group,is_active,supplier_code,purchases_after_2021
ESVE0009,ERV SERVICES,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,15 DAYS,Y,ESVE0009,Y
UCVM0006,NULL,NULL,628407,NULL,NULL,OTHER VENDOR,30 DAYS,N,NULL,NULL
UCVP0004,POWER AUTO CAR SERVICES,BLK 3012 BEDOK INDUSTRIAL PARK E,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0001,A & A KITCHEN EQUIPMENT PTE LTD,BLK 194 PANDAN LOOP,west,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,NULL,NULL
USVA0002,AGILITY INTERNATIONAL LOGISTICS PTE LTD,NULL,498802,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,USVA0002,Y
USVA0003,ANG KEE COLD STORE PTE LTD,220 PANDAN LOOP,128409 west,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0003,Y
USVA0004,AIK LEE ANN TRANSPORT,4 PENJURU ROAD LOT 22,609122 west,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,NULL,NULL
USVA0005,AFON TECHNOLOGIES PTE LTD,1 COMMONWEALTH LANE #07-19,149544 west,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0005,Y
USVA0006,AIA INSURANCE,3 TAMPINES GRANDE,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,USVA0006,Y
USVA0007,ANGLISS SINGAPORE PTE LTD,232 PANDAN LOOP,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0009,ACUMED MEDICAL PTE LTD,10 TOH GUAN RD,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0009,Y
USVA0010,ADVENTUS SINGAPORE PTE LTD,"6 BATTERY ROAD,",NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0010,Y
USVA0011,AMCOWELD INC PTE LTD,BLK 1005 EUNOS AVE 7,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0012,ACE PLUMBING SERVICES,NULL,576278,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0013,ADVANCE LAW LLC,NULL,319402,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0014,ASAP FREIGHT PRIVATE LIMITED,NULL,367954,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0014,Y
USVA0015,ARENA CONSTRUCTION PTE LTD,NULL,SINGAPORE 408571,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVA0016,ASTRA ASSURANCE AGENCIES LLP,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,USVA0016,Y
USVA0017,AFON IT PTE LTD,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0017,Y
USVA0018,AOP LOGISTICS (S) PTE LTD,"2 FISHERY PORT ROAD,",SINGAPORE 619746,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0018,Y
USVA0019,ALLINK INSURANCE AGENCY PTE LTD,NULL,SINGAPORE 650153,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0019,Y
USVA0020,ACE DYNAMIC HOLDINGS PTE LTD,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0020,Y
USVA0021,ACE FRESH PTE LTD,NULL,408868,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0021,Y
USVA0022,ACE MARKETPLACE PTE LTD,NULL,408868,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0022,Y
USVA0023,ASTHER MEDICAL SUPPLIES PTE LTD,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVA0023,Y
USVB0001,BELLS FLORA PTE LTD,BLK 41 CAMBRIDGE ROAD,210041 central,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVB0001,Y
USVB0002,ABPI TECHNOLOGIES PTE LTD,31 MANDAI ESTATE,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVB0003,BEST PETROL & DIESEL SUPPLY,5 BENOI PLACE,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVB0003,Y
USVB0004,BATTERY ASIA (S) PTE LTD,NULL,SINGAPORE 639150,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,NULL,NULL
USVB0005,BISHOKU SG,NULL,NULL,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,USVB0005,Y
USVC0001,CHENG HENG PAPER PRODUCTS CO (PTE) LTD,85 LOYANG WAY,508768 east,15,LOCAL SUPPLIERS,OTHER VENDOR,30 DAYS,Y,USVC0001,Y
USVC0002,CROWN EQUIPMENT (SINGAPORE) PTE LTD,15 TUAS AVENUE 8,639230 west,15,LOCAL SUPPLIERS,OTHER VENDOR,CASH,Y,NULL,NULL
