doc_date,industry_desc,trade_suppliers_ind,active_vendor,total
2014-01-01,LOCAL SUPPLIERS,TRADE VENDOR,0,2572.44
2014-02-01,LOCAL SUPPLIERS,TRADE VENDOR,0,1697.53
2014-02-01,LOCAL SUPPLIERS,TRADE VENDOR,1,81985.11
2014-03-01,LOCAL SUPPLIERS,OTHER VENDOR,0,3477.5
2014-03-01,LOCAL SUPPLIERS,OTHER VENDOR,1,7116.21
2014-03-01,LOCAL SUPPLIERS,TRADE VENDOR,0,29169.8
2014-03-01,LOCAL SUPPLIERS,TRADE VENDOR,1,577368.44
2014-04-01,LOCAL SUPPLIERS,OTHER VENDOR,0,8398.8
2014-04-01,LOCAL SUPPLIERS,OTHER VENDOR,1,81300.5
2014-04-01,LOCAL SUPPLIERS,TRADE VENDOR,0,246718.53
2014-04-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1131520.25
2014-05-01,LOCAL SUPPLIERS,OTHER VENDOR,0,26095.16
2014-05-01,LOCAL SUPPLIERS,TRADE VENDOR,0,182957.48
2014-05-01,LOCAL SUPPLIERS,TRADE VENDOR,1,1080731.67
2014-05-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,94646.0
2014-06-01,LOCAL SUPPLIERS,OTHER VENDOR,0,12095.28
2014-06-01,LOCAL SUPPLIERS,TRADE VENDOR,0,197630.66
2014-06-01,LOCAL SUPPLIERS,TRADE VENDOR,1,877449.27
2014-06-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,682528.0
2014-06-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,233881.34
2014-07-01,LOCAL SUPPLIERS,OTHER VENDOR,0,17190.34
2014-07-01,LOCAL SUPPLIERS,TRADE VENDOR,0,261287.49
2014-07-01,LOCAL SUPPLIERS,TRADE VENDOR,1,761157.18
2014-07-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,179659.5
2014-07-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,458991.28
2014-08-01,LOCAL SUPPLIERS,OTHER VENDOR,0,17643.64
2014-08-01,LOCAL SUPPLIERS,TRADE VENDOR,0,939857.12
2014-08-01,LOCAL SUPPLIERS,TRADE VENDOR,1,880055.6
2014-08-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,41928.0
2014-09-01,LOCAL SUPPLIERS,OTHER VENDOR,0,8039.0
2014-09-01,LOCAL SUPPLIERS,TRADE VENDOR,0,750683.35
2014-09-01,LOCAL SUPPLIERS,TRADE VENDOR,1,666981.86
2014-09-01,OVERSEAS SUPPLIERS,OTHER VENDOR,0,55955.28
2014-09-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,108563.31
2014-10-01,LOCAL SUPPLIERS,OTHER VENDOR,0,23116.71
2014-10-01,LOCAL SUPPLIERS,TRADE VENDOR,0,1161896.16
2014-10-01,LOCAL SUPPLIERS,TRADE VENDOR,1,482908.79
2014-10-01,OVERSEAS SUPPLIERS,TRADE VENDOR,0,92105.79000000001
2014-11-01,LOCAL SUPPLIERS,OTHER VENDOR,0,371.36
2014-11-01,LOCAL SUPPLIERS,TRADE VENDOR,0,374202.27
2014-11-01,LOCAL SUPPLIERS,TRADE VENDOR,1,633076.49
