item_code,description,date,quantity,purchase_quantity
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-01,237.0,60.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-01,189.0,60.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-01,244.0,60.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-01,5.0,10.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-01,13.0,10.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-01,14.0,10.0
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-01,327.86,98.11
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-01,473.49,206.55
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-01,568.31,108.23
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,2022-12-01,5.0,0.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-11-01,10.0,60.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-01,310.0,200.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-01,339.0,0.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-01,335.0,273.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-01,743.0,0.0
BCR001,BEEF CHUCK BRAZIL,2022-10-01,204.38,119.625
BCR001,BEEF CHUCK BRAZIL,2022-11-01,194.79000000000002,126.88
BCR001,BEEF CHUCK BRAZIL,2022-12-01,181.79,122.31
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-01,18.8,0.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-11-01,17.5,0.0
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-12-01,11.799999999999999,0.0
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-10-01,20.0,0.0
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-11-01,20.0,0.0
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,2022-12-01,80.0,0.0
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,2022-10-01,362.70000000000005,96.47999999999999
BFC001,BEEF FATS 25KG/CTNS,2022-11-01,136.1,250.0
BFC001,BEEF FATS 25KG/CTNS,2022-12-01,235.4,187.5
BFC003,BEEF FLOSS 2KG/PKT,2022-10-01,80.0,0.0
BFC003,BEEF FLOSS 2KG/PKT,2022-11-01,106.0,0.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-10-01,149.6,100.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-11-01,129.6,0.0
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2022-12-01,925.0,900.0
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-10-01,15.0,0.0
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,2022-11-01,15.0,15.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-10-01,959.57,0.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-11-01,108.03999999999999,0.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),2022-12-01,123.86,0.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-10-01,3320.47,519.35
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-11-01,2911.39,822.585
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),2022-12-01,2817.0,1013.6
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-11-01,47.620000000000005,23.810000000000002
BFT006,BEEF PADDY WACK (QUALITY BEEF),2022-12-01,183.73,24.134999999999998
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-10-01,131.77,0.0
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-11-01,321.66,0.0
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),2022-12-01,128.86,0.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-10-01,1268.06,0.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),2022-11-01,1685.15,0.0
