vendor_code,vendor_name,item_code,description,purchase_count,avg_price,min_price,median_price,max_price,total,total_qty,latest_purchase_date,group_median_price,group_max_price,group_latest_price,num_suppliers,price_diff_from_group
USVS0018,SINGYI F&B PTE LTD,MECHICKEN03,MARINATE CHICKEN MID JOINT 5KG/PKT,10.0,7.8,7.8,7.8,7.8,390.0,50.0,2022-12-26,7.8,7.8,7.8,1,0.0
USVS0018,SINGYI F&B PTE LTD,MEPORK01,MARINATE PORK BELLY,4.0,5.7,5.7,5.7,5.7,159.60000000000002,28.0,2022-12-06,5.7,5.7,5.7,1,0.0
USVS0018,SINGYI F&B PTE LTD,OPN001,OTHER- PRAWN NUTS 1kg/pkt,31.0,12.509677419354842,12.3,12.3,12.8,1484.4,118.0,2022-12-31,12.3,12.8,12.8,1,0.0
USVS0018,SINGYI F&B PTE LTD,OYR001,OTHER- FRIED YAM RING 230gm,5.0,3.8,3.8,3.8,3.8,95.0,25.0,2022-12-29,3.8,4.0,4.0,3,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),1.0,3.6,3.6,3.6,3.6,360.0,100.0,2022-10-29,3.55,3.6,3.5,2,0.050000000000000266
UVA0001,ANGLISS SINGAPORE PTE LTD,BTR003-02,BEEF TRIPE HONEYCOMB (QUALITY/MINERVA),1.0,9.3,9.3,9.3,9.3,3720.0000000000005,400.0,2022-10-15,6.75,9.3,6.5,3,2.5500000000000007
UVA0001,ANGLISS SINGAPORE PTE LTD,CMIJ02-02,CHICKEN- MID JOINT 30gmUP (AVIVAR) 6pkt X 2kg/ctns,1.0,4.15,4.15,4.15,4.15,2988.0000000000005,720.0,2022-10-03,4.15,4.15,4.15,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,DEER01,DEER MEAT,1.0,28.0,28.0,28.0,28.0,4286.52,153.09,2022-12-19,30.0,30.0,28.0,2,-2.0
UVA0001,ANGLISS SINGAPORE PTE LTD,DUCK15-03,DUCK- DUCK LIVER PRE SLICED 50GM/PCS,1.0,95.07,95.07,95.07,95.07,291.8649,3.07,2022-11-14,95.07,109.22,78.0,3,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,GOOS01,GOOSE WHOLE WITH GIBLETS IWP 3.6KG (HUNGARIAN),2.0,34.0,34.0,34.0,34.0,944.86,27.79,2022-12-09,34.0,34.0,34.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OCH001,OTHER- SLICED CHEESE 84pcs (CHEF CHOICE),9.0,9.0,9.0,9.0,9.0,1737.0,193.0,2022-12-19,9.0,9.0,9.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OCH003,OTHER- PARMESAN CHEESE GRATED 2KG/PKT,1.0,16.0,16.0,16.0,16.0,96.0,6.0,2022-12-17,16.0,16.0,16.0,2,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OCH003-02,OTHER- PARMESAN CHEESE SHREDDED 1KG/PKT,1.0,16.0,16.0,16.0,16.0,80.0,5.0,2022-12-17,16.0,16.0,16.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OHA004,OTHER- ITALY PARMA HAM PRESLICED 90GM,1.0,6.0,6.0,6.0,6.0,300.0,50.0,2022-12-09,6.0,6.0,6.0,1,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,OMO002,OTHER- MOZZ SHREDDED 2kgX6pkt,4.0,9.0,9.0,9.0,9.0,720.0,80.0,2022-12-19,9.0,9.0,9.0,1,0.0
