item_code,description,date,sales_price,purchase_price
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-02,9.2,
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-09,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-16,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-23,10.0,
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-30,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-06,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-13,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-20,9.3,
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-27,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-04,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-11,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-18,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-25,10.0,9.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2023-01-01,10.0,9.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-16,15.55,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-23,12.5,10.8
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-30,,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-06,12.5,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-13,,10.8
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-20,,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-27,,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-04,15.55,10.8
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-11,12.5,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-18,12.5,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-25,12.5,
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2023-01-01,12.5,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-02,9.35,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-09,9.2,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-16,9.5,7.35
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-23,9.5,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-30,9.5,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-06,9.5,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-13,9.5,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-20,10.0,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-27,9.5,
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-04,9.75,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-11,10.25,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-18,9.5,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-25,9.5,7.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2023-01-01,9.25,7.8
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,2022-12-18,12.0,
