item_code,description,week_start,vendor_code,vendor_name,total
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-03,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-10,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-24,UVP0014,PING PONG FOODS PTE LTD,1080.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-07,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-21,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-28,UVP0014,PING PONG FOODS PTE LTD,1080.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-12,UVP0014,PING PONG FOODS PTE LTD,900.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-19,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-26,UVP0014,PING PONG FOODS PTE LTD,540.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-17,UVP0014,PING PONG FOODS PTE LTD,108.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-07,UVP0014,PING PONG FOODS PTE LTD,108.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-28,UVP0014,PING PONG FOODS PTE LTD,108.0
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-03,UVC0001,CASH SUPPLIER (NON-GST),190.785
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-10,UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,1680.8220000000001
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-24,UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,765.2579999999999
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-07,UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,1480.3619999999999
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-14,UVM0008,MEGA PACKERS ASSOCIATE PTE LTD,1741.818
