week_start,item_code,description,vendor_code,vendor_name,price,group_average_price,group_min_price,group_max_price
2022-09-26,BCR001,BEEF CHUCK BRAZIL,UVA0019,AMAX FOODS PTE LTD,7.2,7.2,7.2,7.2
2022-09-26,BLO001,BEEF- LEG OF BEEF,UVA0019,AMAX FOODS PTE LTD,6.4,6.4,6.4,6.4
2022-09-26,BTR001,BEEF TRIPE (NZ-SILVERFERN) 22kg/ctn,UVM0001,MUA HIN POULTRY FARM PTE LTD,3.5,3.3,3.3,3.5
2022-09-26,CBSL14,CHICKEN BREAST STRIP 250GM X 12PKT (PERDIGAO),UVS0008,COUNTRY FOODS PTE LTD,1.9,1.9,1.9,2.8
2022-09-26,CKAD01,CHICKEN KATSUDON 14pcs 1kgX10pkt,UVP0016,PREMIER FOODS ASIA PTE LTD,7.1,7.1,7.1,7.1
2022-09-26,CMIJ02-02,CHICKEN- MID JOINT 30gmUP (AVIVAR) 6pkt X 2kg/ctns,UVA0001,ANGLISS SINGAPORE PTE LTD,4.15,4.15,4.15,4.15
2022-09-26,CMIJ03-01,CHICKEN- MID JOINT 30gm (PERDIGAO) 1kgX16pkt,UVM0001,MUA HIN POULTRY FARM PTE LTD,5.0,5.0,4.2,5.0
2022-09-26,COLD01,CHICKEN- OLD FOWL,UVH0019,HUP HENG POULTRY INDUSTRIES PTE LTD,4.6,4.6,4.6,4.6
2022-09-26,CSBL01,CHICKEN- BLACK CHICKEN 5PCS/PKT,UVK0008,KEE SONG FOOD CORPORTION (S) PTE LTD,5.5,5.5,5.5,5.5
2022-09-26,CSBL01-03,CHICKEN- KAMPONG CHICKEN WHOLE LEG,UVK0008,KEE SONG FOOD CORPORTION (S) PTE LTD,52.5,10.5,10.5,10.5
2022-09-26,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,UVI0005,INTEROCEAN FOODS PTE LTD,36.0,36.0,36.0,37.5
2022-09-26,CWIN01,CHICKEN WING 80-100gm (SEARA/PERDIGAO) 15kg/ctn,UVL0026,LEONG HUP DISTRIBUTION PTE LTD,58.5,58.5,58.5,58.5
2022-09-26,CWIN05-04,CHICKEN WING 120GMUP / 120-150gm UP (PD/SEARA/AVIA)15kg/ctn,UVM0001,MUA HIN POULTRY FARM PTE LTD,46.5,45.75,45.75,46.5
2022-09-26,DEER01,DEER MEAT,UVM0001,MUA HIN POULTRY FARM PTE LTD,30.0,30.0,28.0,30.0
2022-09-26,DUCK01-04,DUCK- HALAL FRESH WHOLE DUCK (3.56kg/pcs),UVK0007,KENDO TRADING PTE LTD,5.9,5.33,4.5,6.0
2022-09-26,DUCK06,DUCK HEAD 5KG/PKT,UVK0007,KENDO TRADING PTE LTD,2.0,2.0,2.0,3.5
2022-09-26,FBA001-01,FISH- WHOLE BATANG 2-3 FRESH - CLEAN & GUTTER,UVS0005,SONG FISH DEALER PTE LTD,6.8,6.8,5.5,8.2
2022-09-26,FBA001-02,FISH- WHOLE BATANG 3/4KG (NSW-LH),UVS0005,SONG FISH DEALER PTE LTD,6.8,7.550000000000001,6.8,8.3
2022-09-26,FBE002,FISH- BELT FISH 200-300GM 10KG/CTNS,UVS0005,SONG FISH DEALER PTE LTD,3.5,3.5,3.5,4.5
2022-09-26,FRS001-05,FISH- RED SNAPPER FISH HEAD FROZEN 5nos/ctns,UVT0021,T&L INDUSTRIES PTE LTD,43.5,17.0,14.5,17.0
2022-09-26,FSB002-01,FISH- FRESH SEABASS 600-700GM,UVT0033,TIONG HIN FISH MERCHANT CO,20.56,6.779999999999999,6.0,7.45
2022-09-26,FSB002-03,FISH- FRESH SEABASS 500-600GM,UVT0021,T&L INDUSTRIES PTE LTD,8.0,6.7,6.7,8.0
2022-09-26,FSB002-03,FISH- FRESH SEABASS 500-600GM,UVT0033,TIONG HIN FISH MERCHANT CO,41.400000000000006,6.7,6.7,8.0
2022-09-26,FSB002-06,FISH- FRESH SEABASS 800-900GM - BUTTERFLY @ BACK,UVT0033,TIONG HIN FISH MERCHANT CO,7.0,6.8,6.78,7.02
2022-09-26,FSF001-06,FISH- SUTCHI FILLET 170-220gm 6KG/CTNS,UVT0024,TG FISHERY HOLDINGS CORPORATION,17.0,15.905000000000001,14.81,17.0
2022-09-26,FSF0010-04,FISH- SUTCHI CUBE 25-35GM 6kg/ctn (TWIN) DL 478,UVT0024,TG FISHERY HOLDINGS CORPORATION,15.92,19.0,13.5,19.0
2022-09-26,FSF004-08,FISH- SUTCHI FILLET 400-600gm 6kg/ctn (TWIN) DL 478,UVT0024,TG FISHERY HOLDINGS CORPORATION,17.0,15.32,14.44,17.0
2022-09-26,FSF010-04,FISH- SUTCHI FILLET BUTTERFLY CUT 700-900gm 10/ctns,UVT0024,TG FISHERY HOLDINGS CORPORATION,2.88,2.525,2.17,2.88
2022-09-26,FSF010-06,FISH- SUTCHI FILLET BUTTERFLY CUT 900-1000gm 10kg/ctn,UVT0024,TG FISHERY HOLDINGS CORPORATION,2.87,2.35,2.17,2.87
2022-09-26,MBL003,LAMB SHOULDER B/LESS OYSTER TUBED,UVG0016,GOLD HOG SUPPLY PTE LTD,15.0,16.5,15.0,16.5
2022-09-26,OAB011-02,OTHER- HALF SHELL ABALONE 29pcs/pkt x 10pkt/ctns,UVB0019,BLU VENTURES PTE LTD,29.0,29.0,29.0,29.0
2022-09-26,OBA006,OTHER- FISH BALL L 65pcs +/- 1kg/pkt,UVL0002,LI CHUAN FOOD PRODUCTS PTE LTD,4.0,4.0,4.0,4.0
2022-09-26,OCH001,OTHER- SLICED CHEESE 84pcs (CHEF CHOICE),UVA0001,ANGLISS SINGAPORE PTE LTD,9.0,9.0,9.0,9.0
2022-09-26,OED003,OTHER- EDAMAME BEAN (WITHOUT SHELL)  10X1KG/CTNS,UVB0006,BEN FOODS (S) PTE LTD,2.8,3.5,2.8,3.5
2022-09-26,OFF0010,OTHER- FRIES SWEET POTATO PLATTER (LAMB'S) 1/4' x 1/2',UVB0006,BEN FOODS (S) PTE LTD,10.8,10.8,10.8,10.8
2022-09-26,OFF002-02,OTHER- F.FRIES SHOESTRING (GARDEN MAID) 10X1KG/CTNS,UVQ0005,QUALITY MEAT PTE LTD,2.5,2.5,2.2,2.5
2022-09-26,OFF004-04,OTHER- F.FRIES COATED STRAIGHT CUT 5X2KG/CTNS (FARMCHEF),UVB0006,BEN FOODS (S) PTE LTD,5.8,5.8,5.8,5.8
2022-09-26,OFL001,OTHER- FROG LEG 10X1KG/CTNS,UVP0001,PAN OCEAN SINGAPORE PTE LTD,12.0,12.0,12.0,12.0
2022-09-26,OHB002,OTHER- HASH BROWN TRI TATERS (SIMLOT) 2.27kgX6pkt,UVB0006,BEN FOODS (S) PTE LTD,9.17,9.17,9.17,9.17
2022-09-26,OHD012,OTHER- PORK SAUSAGE WITH CORN,UVS0061,SHISHANGFOOD PTE LTD,3.0,3.0,3.0,3.0
2022-09-26,OHD012-04,OTHER- PORK SMOKED SAUSAGE ORIGINAL,UVS0061,SHISHANGFOOD PTE LTD,0.6,0.6,0.6,0.7
2022-09-26,OHD012-05,OTHER- PORK SAUSAGE,UVS0061,SHISHANGFOOD PTE LTD,1.5,1.5,1.5,1.5
2022-09-26,OMR001,OTHER- FRAGRANCE MEAT ROLL 50pcs/pkt,UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,0.31,0.31,0.31,0.31
2022-09-26,OMR002,OTHER- CHICKEN BALL 50PCS/PKT,UVL0002,LI CHUAN FOOD PRODUCTS PTE LTD,5.0,5.0,5.0,5.0
2022-09-26,OOI006-01,OTHER- WHITE ROCK SUGAR 3KG/PKT,UVS0058,SUNRISE FOOD PTE LTD,5.5,5.5,5.5,5.5
2022-09-26,OOR006,OTHER- ONION RING (LAMB WESTERN/SIMPLOT-BABY STAR) 2lbX8pkt,UVA0001,ANGLISS SINGAPORE PTE LTD,5.0,5.0,5.0,5.0
2022-09-26,OPN001,OTHER- PRAWN NUTS 1kg/pkt,USVS0018,SINGYI F&B PTE LTD,24.6,12.3,12.3,12.8
2022-09-26,OPO004,OTHER- CHICKEN DRUMMETS BREADED HOT & SPICY 850gmX10pkt,UVS0008,COUNTRY FOODS PTE LTD,5.85,5.85,5.85,5.85
2022-09-26,OPO006,OTHER- CHICKEN POPCORN (FARMPRIDE) 10X1KG/CTNS,UVS0008,COUNTRY FOODS PTE LTD,7.0,7.8,7.0,7.8
2022-09-26,OPO006-02,OTHER- CHICKEN POPCORN HOT & SPICY 400gmX12pkt,UVS0008,COUNTRY FOODS PTE LTD,3.5,3.8,3.5,3.8
2022-09-26,OPO006-03,OTHER- CHICKEN POPCORN (FARMPRIDE) 400gmX12pkt,UVS0008,COUNTRY FOODS PTE LTD,3.7,4.0,3.7,4.0
2022-09-26,OPO008,OTHER- CHICKEN DRUMMETS BREADED ORIGINAL 850gmX10pkt,UVS0008,COUNTRY FOODS PTE LTD,5.85,5.85,5.85,5.85
2022-09-26,ORM008,OTHER- INSTANT NOODLES - E ZEE,UVS0058,SUNRISE FOOD PTE LTD,17.0,17.0,17.0,17.0
2022-09-26,OSA002,OTHER- TAIWAN SAUSAGE 10pcs 500gm+-/pkt 40pkt/ctns,UVJ0005,JORDON INTERNATIONAL FOOD PROCESSING P/L,4.7,4.7,4.7,4.7
2022-09-26,OSA005-03,OTHER- PORK SAUSAGE 6INCH 20X1KG/CTNS,UVG0025,GOURMET CHEFS PTE LTD,7.0,7.0,7.0,7.0
2022-09-26,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),UVA0001,ANGLISS SINGAPORE PTE LTD,4.3,4.3,4.3,4.3
2022-09-26,PBEL34,CHESTNUT SR BELLY BL RIND ON-SD000073,UVE0011,EURASIA FOOD SUPPLY PTE LTD,11.0,11.0,11.0,11.0
