item_code,description,purchase_count,avg_price,min_price,median_price,max_price,latest_purchase_price,latest_purchase_date,total_qty,total_pv,num_suppliers
BBA001,BEEF BALL 1kg/pkt (PING PONG),11.0,9.0,9.0,9.0,9.0,9.0,2022-12-31,700.0,6300.0,1
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,3.0,10.800000000000002,10.8,10.8,10.8,10.8,2022-12-01,30.0,324.0,1
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),10.0,7.709999999999999,6.9,7.8,7.8,7.8,2022-12-31,1465.01,11402.193,2
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,3.0,7.599999999999999,7.6,7.6,7.6,7.6,2022-12-17,460.0,3496.0,1
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2.0,5.0,5.0,5.0,5.0,5.0,2022-11-19,546.0,2730.0,2
BCR001,BEEF CHUCK BRAZIL,6.0,7.2,7.2,7.2,7.2,7.2,2022-12-31,737.63,5310.936,1
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,4.0,13.5,13.5,13.5,13.5,13.5,2022-10-13,382.72,5166.719999999999,1
BFC001,BEEF FATS 25KG/CTNS,3.0,4.0,4.0,4.0,4.0,4.0,2022-12-22,625.0,2500.0,1
BFC005,BEEF FATS 20KG/CTNS (HARVEY-AUST),2.0,3.55,3.5,3.55,3.6,3.5,2022-12-15,1000.0,3510.0,2
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,1.0,4.2,4.2,4.2,4.2,4.2,2022-11-29,15.0,63.0,1
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),8.0,7.9625,7.8,7.9,8.5,7.9,2022-12-24,7019.7,55682.937000000005,3
BFT006,BEEF PADDY WACK (QUALITY BEEF),6.0,3.1999999999999997,3.2,3.2,3.2,3.2,2022-12-20,349.5,1118.4,1
BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),30.0,7.599999999999999,6.1,7.75,7.8,7.5,2022-12-31,48622.35,358848.57,5
BKN003,BEEF KNUCKLE CUBE (TFP) 500gmX20pkt,5.0,5.176,5.0,5.0,5.88,5.88,2022-11-13,700.0,3588.0,2
