item_code,description,week_start,selling_price
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-09-26,9.2
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-03,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-10,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-17,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-24,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-31,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-07,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-14,9.25
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-21,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-28,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-05,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-12,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-19,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-26,10.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-10,15.55
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-17,12.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-31,12.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-28,15.55
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-05,12.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-12,12.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-19,12.5
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-26,12.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-09-26,9.35
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-03,9.35
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-10,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-17,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-24,9.65
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-31,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-07,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-14,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-21,10.0
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-28,9.75
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-05,10.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-12,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-19,9.5
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-26,9.25
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,2022-12-12,12.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-11-21,8.9
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-05,9.8
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-12,9.8
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-19,9.8
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-26,9.350000000000001
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-09-26,8.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-03,8.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-10,8.0
