item_code,description,customer_code,customer_name,avg_sales_price,min_sales_price,median_sales_price,max_sales_price,total_qty,latest_sales_date,latest_sales_price
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCA0165,ASHIKA RESTAURANT & CATERING PTE LTD,10.5,10.5,10.5,10.5,4.0,2022-11-10,10.5
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCC0064,MMMM F&B PTE LTD,10.0,10.0,10.0,10.0,23.0,2022-12-31,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCC0145,CHAO TIAN MEN HUO GUO WANG,10.0,10.0,10.0,10.0,12.0,2022-12-23,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCC9999,CASH (SHIYUN),9.68,9.2,10.0,10.0,7.0,2022-12-13,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCD0062,DEEP GROUNDWATER PTE LTD (HEARTLAND MALL),9.3,9.3,9.3,9.3,19.0,2022-12-17,9.3
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCD0069,DEEP GROUNDWATER PTE LTD (SUN PLAZA),9.3,9.3,9.3,9.3,6.0,2022-12-23,9.3
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCD0089,DEEP GROUNDWATER PTE LTD (IMM),9.3,9.3,9.3,9.3,1.0,2022-11-28,9.3
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCF0069,FOODSTA PTE LTD,9.8,9.8,9.8,9.8,3.0,2022-10-05,9.8
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCH0208,HOANG HAU,10.0,10.0,10.0,10.0,30.0,2022-12-30,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCH0279,CHUN LEI TRADING PTE LTD,10.0,10.0,10.0,10.0,5.0,2022-11-23,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCJ0145,MALA FRAGRANT HOT POT,9.5,9.5,9.5,9.5,1.0,2022-10-25,9.5
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCJ0174,PANGOLIN INVESTMENTS PRIVATE LIMITED,10.0,10.0,10.0,10.0,7.0,2022-12-07,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCJ0179,MALA FRAGRANT HOT POT,9.5,9.5,9.5,9.5,1.0,2022-12-14,9.5
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCK0078,KEVIN VIETNAMESE CUISINE,10.0,10.0,10.0,10.0,35.0,2022-12-19,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCK0082,KEVIN KENNY PT LTD,10.0,10.0,10.0,10.0,10.0,2022-12-16,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCK0083,MEI LE PTE LTD (WEST COAST),10.0,10.0,10.0,10.0,5.0,2022-12-16,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCL0164,LISDEN DINING PTE LTD,10.0,10.0,10.0,10.0,5.0,2022-11-23,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCL0192,LORCH GOCER,11.0,11.0,11.0,11.0,50.0,2022-12-16,11.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCM0236,UNOIA PTE LTD,10.0,10.0,10.0,10.0,8.0,2022-12-08,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCM0289,MALA 61 PTE LTD,10.0,10.0,10.0,10.0,12.0,2022-11-23,10.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),UCM0306,MY THAI POT (TELOK BLANGAH),10.0,10.0,10.0,10.0,6.0,2022-11-22,10.0
