item_code,description,date,quantity
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-02,22.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-09,40.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-16,62.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-23,53.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-10-30,54.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-06,37.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-13,50.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-20,50.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-11-27,52.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-04,28.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-11,52.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-18,92.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2022-12-25,55.0
BBA001,BEEF BALL 1kg/pkt (PING PONG),2023-01-01,23.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-16,3.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-23,2.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-10-30,0.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-06,8.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-13,0.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-20,0.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-11-27,0.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-04,6.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-11,1.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-18,6.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2022-12-25,2.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2023-01-01,4.0
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-02,19.8
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-09,73.34
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-16,78.58
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-23,57.66
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-10-30,98.48
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-06,89.29
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-13,129.45
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-20,158.67000000000002
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-11-27,56.21
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-04,152.09
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-11,136.06
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-18,114.08
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2022-12-25,124.71000000000001
BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),2023-01-01,81.24
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,2022-12-18,5.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-11-27,10.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-04,0.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-11,20.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-18,220.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2022-12-25,40.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,2023-01-01,30.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-02,19.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-09,77.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-16,88.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-23,14.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-10-30,131.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-06,137.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-13,56.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-20,112.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-11-27,10.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-04,34.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-11,26.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-18,92.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2022-12-25,163.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,2023-01-01,458.0
BCR001,BEEF CHUCK BRAZIL,2022-10-09,62.5
BCR001,BEEF CHUCK BRAZIL,2022-10-16,24.35
BCR001,BEEF CHUCK BRAZIL,2022-10-23,54.870000000000005
BCR001,BEEF CHUCK BRAZIL,2022-10-30,41.89
BCR001,BEEF CHUCK BRAZIL,2022-11-06,46.89
BCR001,BEEF CHUCK BRAZIL,2022-11-13,26.3
BCR001,BEEF CHUCK BRAZIL,2022-11-20,47.34
BCR001,BEEF CHUCK BRAZIL,2022-11-27,51.64
BCR001,BEEF CHUCK BRAZIL,2022-12-04,43.39
BCR001,BEEF CHUCK BRAZIL,2022-12-11,51.14
BCR001,BEEF CHUCK BRAZIL,2022-12-18,57.79
BCR001,BEEF CHUCK BRAZIL,2022-12-25,44.84
BCR001,BEEF CHUCK BRAZIL,2023-01-01,28.02
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-09,5.1
BCT001,BEEF CHUCK TENDER (MINERVA-BRAZIL),2022-10-16,3.7
