vendor_code,vendor_name,purchase_count,avg_pv,min_pv,median_pv,max_pv,total_pv,unique_items_count,num_only_supplier
USVS0018,SINGYI F&B PTE LTD,50.0,42.58,12.3,35.550000000000004,192.0,2129.0,4,3
UVA0001,ANGLISS SINGAPORE PTE LTD,56.0,1175.6227839285714,9.0,676.8,5440.0,65834.8759,22,14
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2.0,3190.0,2900.0,3190.0,3480.0,6380.0,1,1
UVA0003,ANG KEE FISH MERCHANT PTE LTD,1.0,130.0,130.0,130.0,130.0,130.0,1,1
UVA0004,ARCO MARKETING PTE LTD,7.0,653.7142857142857,80.0,720.0,1440.0,4576.0,2,1
UVA0017,ARGENTRADE INTERNATIONAL  B.V,1.0,156909.123,156909.123,156909.123,156909.123,156909.123,1,1
UVA0018,AJC INTERNATIONAL,11.0,66314.02727272727,7920.000000000001,62099.99999999999,112859.99999999999,729454.2999999999,8,5
UVA0019,AMAX FOODS PTE LTD,66.0,5368.493666666666,34.56,5371.512000000001,15920.189999999999,354320.582,22,9
UVA0021,AH PENG FISH FOOD SUPPLIER PTE LTD,13.0,155.0,155.0,155.0,155.0,2015.0,1,1
UVA0030,AH TECK (TNL),36.0,72.69658333333332,30.25,64.125,141.78,2617.0769999999998,3,1
UVA0036,AGROMAX FOOD DMCC,1.0,66690.0,66690.0,66690.0,66690.0,66690.0,1,0
UVB0006,BEN FOODS (S) PTE LTD,95.0,405.077,15.5,275.0,3937.07,38482.315,21,17
UVB0014,BEAN CITY FOODSTUFF PTE LTD,1.0,65.0,65.0,65.0,65.0,65.0,1,1
UVB0019,BLU VENTURES PTE LTD,11.0,523.6363636363636,60.0,750.0,900.0,5760.0,6,4
UVB0024,BRF GLOBAL GMBH,8.0,69327.7375,14970.0,76349.75,119536.56,554621.9,6,3
UVB0025,BIG HOCKEY MANUFACTURING & FOOD PROCESSING PTE LTD,1.0,98.39999999999999,98.39999999999999,98.39999999999999,98.39999999999999,98.39999999999999,1,0
UVC0001,CASH SUPPLIER (NON-GST),56.0,485.63383928571426,18.0,105.75,12667.86,27195.495000000003,44,18
UVC0002,HY CASH SUPPLIER (NON-GST),1.0,295.0,295.0,295.0,295.0,295.0,1,0
UVC0008,CS TAY FOODS PTE LTD,7.0,240.42857142857142,153.0,255.0,255.0,1683.0,1,1
UVC0011,CHIP HONG FARM PRODUCT,45.0,3565.463975555555,23.0,1728.0,32400.0,160445.8789,12,1
UVC0014,COSS FOOD MARKETING PTE LTD,21.0,341.93333333333334,39.199999999999996,275.0,1536.0,7180.6,3,3
UVC0015,CASH SUPPLIER (GST),2.0,545.11,173.52,545.11,916.7,1090.22,1,1
UVC0025,CHEE SONG FOODS PTE LTD,35.0,1472.3500285714288,175.0,702.7760000000001,4786.95,51532.251,12,6
UVC0029,CLASSIC FINE FOODS (S) PTE LTD,2.0,365.82000000000005,51.480000000000004,365.82000000000005,680.1600000000001,731.6400000000001,1,0
UVC0035,TECK CASH SUPPLIER (NON-GST),30.0,264.1336,6.0,133.25,1712.5,7924.008,23,12
UVC0038,CELESTIAL VENTURES SDN BHD,3.0,7235.0,7095.0,7275.0,7335.0,21705.0,1,1
UVC0039,CHUN LEI TRADING PTE LTD,3.0,113.20933333333333,17.5,54.0,268.128,339.628,3,1
