vendor_code,vendor_name,date,total
USVS0018,SINGYI F&B PTE LTD,2022-10-02,12.3
USVS0018,SINGYI F&B PTE LTD,2022-10-09,116.8
USVS0018,SINGYI F&B PTE LTD,2022-10-16,123.0
USVS0018,SINGYI F&B PTE LTD,2022-10-23,85.5
USVS0018,SINGYI F&B PTE LTD,2022-10-30,137.4
USVS0018,SINGYI F&B PTE LTD,2022-11-06,233.10000000000002
USVS0018,SINGYI F&B PTE LTD,2022-11-13,43.6
USVS0018,SINGYI F&B PTE LTD,2022-11-20,39.0
USVS0018,SINGYI F&B PTE LTD,2022-11-27,70.3
USVS0018,SINGYI F&B PTE LTD,2022-12-04,236.8
USVS0018,SINGYI F&B PTE LTD,2022-12-11,453.8
USVS0018,SINGYI F&B PTE LTD,2022-12-18,129.2
USVS0018,SINGYI F&B PTE LTD,2022-12-25,57.400000000000006
USVS0018,SINGYI F&B PTE LTD,2023-01-01,390.8
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-10-09,13612.492
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-10-16,10270.661
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-10-23,14271.978
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-10-30,1556.0
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-11-06,1016.0
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-11-13,6240.0
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-11-20,1307.8649
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-11-27,0.0
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-12-04,1047.0
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-12-11,2897.86
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-12-18,3547.7
UVA0001,ANGLISS SINGAPORE PTE LTD,2022-12-25,8817.32
UVA0001,ANGLISS SINGAPORE PTE LTD,2023-01-01,1250.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-10-30,3480.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-11-06,0.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-11-13,0.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-11-20,0.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-11-27,0.0
UVA0002,ALL BIG FROZEN FOOD PTE LTD,2022-12-04,2900.0
UVA0003,ANG KEE FISH MERCHANT PTE LTD,2022-12-25,130.0
UVA0004,ARCO MARKETING PTE LTD,2022-10-16,1440.0
UVA0004,ARCO MARKETING PTE LTD,2022-10-23,320.0
UVA0004,ARCO MARKETING PTE LTD,2022-10-30,0.0
UVA0004,ARCO MARKETING PTE LTD,2022-11-06,432.0
UVA0004,ARCO MARKETING PTE LTD,2022-11-13,80.0
