doc_date,payment_type,total,doc_total
2014-01-01,cash_sum,0.0,1696762.58
2014-01-01,credit_sum,0.0,1696762.58
2014-01-01,check_sum,0.0,1696762.58
2014-01-01,transfer_sum,1696762.58,1696762.58
2014-02-01,cash_sum,0.0,1434294.09
2014-02-01,credit_sum,0.0,1434294.09
2014-02-01,check_sum,0.0,1434294.09
2014-02-01,transfer_sum,1434294.09,1434294.09
2014-03-01,cash_sum,0.0,1541463.94
2014-03-01,credit_sum,0.0,1541463.94
2014-03-01,check_sum,0.0,1541463.94
2014-03-01,transfer_sum,1541463.94,1541463.94
2014-04-01,cash_sum,0.0,1457363.29
2014-04-01,credit_sum,0.0,1457363.29
2014-04-01,check_sum,0.0,1457363.29
2014-04-01,transfer_sum,1457363.29,1457363.29
2014-05-01,cash_sum,737043.66,1574866.33
2014-05-01,credit_sum,0.0,1574866.33
2014-05-01,check_sum,679850.15,1574866.33
2014-05-01,transfer_sum,157972.52,1574866.33
2014-06-01,cash_sum,673371.79,1637643.6300000001
2014-06-01,credit_sum,16.68,1637643.6300000001
2014-06-01,check_sum,896183.73,1637643.6300000001
2014-06-01,transfer_sum,68071.25,1637643.6300000001
2014-07-01,cash_sum,679329.33,1534630.3800000001
2014-07-01,credit_sum,533.14,1534630.3800000001
2014-07-01,check_sum,806755.23,1534630.3800000001
2014-07-01,transfer_sum,48011.5,1534630.3800000001
2014-08-01,cash_sum,655797.85,1607570.61
2014-08-01,credit_sum,38.65,1607570.61
2014-08-01,check_sum,861896.16,1607570.61
2014-08-01,transfer_sum,89836.59,1607570.61
2014-09-01,cash_sum,948224.3,2169622.86
2014-09-01,credit_sum,22.630000000000003,2169622.86
2014-09-01,check_sum,1174950.1,2169622.86
2014-09-01,transfer_sum,46355.25,2169622.86
2014-10-01,cash_sum,569222.58,1526337.2
2014-10-01,credit_sum,5.53,1526337.2
2014-10-01,check_sum,904423.6699999999,1526337.2
2014-10-01,transfer_sum,52187.43,1526337.2
2014-11-01,cash_sum,521372.46,1397530.99
2014-11-01,credit_sum,-4.73,1397530.99
2014-11-01,check_sum,844878.4400000001,1397530.99
2014-11-01,transfer_sum,30803.61,1397530.99
2014-12-01,cash_sum,500015.95,1565783.57
2014-12-01,credit_sum,14.420000000000002,1565783.57
2014-12-01,check_sum,908356.39,1565783.57
2014-12-01,transfer_sum,156889.94,1565783.57
2015-01-01,cash_sum,524448.75,1493156.9
2015-01-01,credit_sum,17.169999999999998,1493156.9
2015-01-01,check_sum,903822.77,1493156.9
2015-01-01,transfer_sum,64482.16,1493156.9
2015-02-01,cash_sum,377049.24,1084212.07
2015-02-01,credit_sum,5.0600000000000005,1084212.07
2015-02-01,check_sum,655037.75,1084212.07
2015-02-01,transfer_sum,51840.96,1084212.07
2015-03-01,cash_sum,535545.1,2185375.56
2015-03-01,credit_sum,22.22,2185375.56
2015-03-01,check_sum,1551686.46,2185375.56
2015-03-01,transfer_sum,97813.06,2185375.56
2015-04-01,cash_sum,555902.9,1768178.0
2015-04-01,credit_sum,10.98,1768178.0
2015-04-01,check_sum,1147094.83,1768178.0
2015-04-01,transfer_sum,64765.17,1768178.0
2015-05-01,cash_sum,545829.3,2181453.4
2015-05-01,credit_sum,6.13,2181453.4
2015-05-01,check_sum,1450587.37,2181453.4
2015-05-01,transfer_sum,184699.39,2181453.4
2015-06-01,cash_sum,561412.65,2152466.21
2015-06-01,credit_sum,19.36,2152466.21
2015-06-01,check_sum,1539381.43,2152466.21
2015-06-01,transfer_sum,51357.66,2152466.21
2015-07-01,cash_sum,647754.8,2515380.16
2015-07-01,credit_sum,7.61,2515380.16
2015-07-01,check_sum,1804755.64,2515380.16
2015-07-01,transfer_sum,62561.04,2515380.16
2015-08-01,cash_sum,625239.5,2227355.62
2015-08-01,credit_sum,5.12,2227355.62
2015-08-01,check_sum,1543934.64,2227355.62
2015-08-01,transfer_sum,57742.42,2227355.62
2015-09-01,cash_sum,707456.3,3192232.03
2015-09-01,credit_sum,5.46,3192232.03
2015-09-01,check_sum,2230388.37,3192232.03
2015-09-01,transfer_sum,253981.80000000002,3192232.03
2015-10-01,cash_sum,645466.91,2271496.33
2015-10-01,credit_sum,0.0,2271496.33
2015-10-01,check_sum,1497440.46,2271496.33
2015-10-01,transfer_sum,128271.75,2271496.33
2015-11-01,cash_sum,635645.1,2281345.7199999997
2015-11-01,credit_sum,36.12,2281345.7199999997
2015-11-01,check_sum,1387680.71,2281345.7199999997
2015-11-01,transfer_sum,257621.61,2281345.7199999997
2015-12-01,cash_sum,604534.55,2368014.84
2015-12-01,credit_sum,36.5,2368014.84
2015-12-01,check_sum,1626957.66,2368014.84
2015-12-01,transfer_sum,136159.91999999998,2368014.84
2016-01-01,cash_sum,656840.15,2207878.94
2016-01-01,credit_sum,30.85,2207878.94
2016-01-01,check_sum,1470328.53,2207878.94
2016-01-01,transfer_sum,80357.69,2207878.94
2016-02-01,cash_sum,564202.2,2017597.34
2016-02-01,credit_sum,36.57,2017597.34
2016-02-01,check_sum,1364439.09,2017597.34
2016-02-01,transfer_sum,88666.46,2017597.34
2016-03-01,cash_sum,656595.95,2398017.59
2016-03-01,credit_sum,9.02,2398017.59
2016-03-01,check_sum,1636858.56,2398017.59
2016-03-01,transfer_sum,104198.37999999999,2398017.59
2016-04-01,cash_sum,815385.7,2571521.71
2016-04-01,credit_sum,0.0,2571521.71
2016-04-01,check_sum,1655288.11,2571521.71
2016-04-01,transfer_sum,100485.79000000001,2571521.71
2016-05-01,cash_sum,745843.6,3031795.43
2016-05-01,credit_sum,0.0,3031795.43
2016-05-01,check_sum,2176020.62,3031795.43
2016-05-01,transfer_sum,109587.91,3031795.43
2016-06-01,cash_sum,677006.5,2338636.72
2016-06-01,credit_sum,0.0,2338636.72
2016-06-01,check_sum,1606327.81,2338636.72
2016-06-01,transfer_sum,54996.89,2338636.72
2016-07-01,cash_sum,743979.75,2785289.94
2016-07-01,credit_sum,0.0,2785289.94
2016-07-01,check_sum,1858719.81,2785289.94
2016-07-01,transfer_sum,182227.0,2785289.94
2016-08-01,cash_sum,858263.75,2851159.64
2016-08-01,credit_sum,0.0,2851159.64
2016-08-01,check_sum,1894940.74,2851159.64
2016-08-01,transfer_sum,97483.59,2851159.64
2016-09-01,cash_sum,751014.15,2972941.97
2016-09-01,credit_sum,0.0,2972941.97
2016-09-01,check_sum,2124919.83,2972941.97
2016-09-01,transfer_sum,96685.77,2972941.97
2016-10-01,cash_sum,779296.45,2949128.56
2016-10-01,credit_sum,0.0,2949128.56
2016-10-01,check_sum,2072160.94,2949128.56
2016-10-01,transfer_sum,97328.06,2949128.56
2016-11-01,cash_sum,814227.25,3048016.3
2016-11-01,credit_sum,0.0,3048016.3
2016-11-01,check_sum,1926443.29,3048016.3
2016-11-01,transfer_sum,307022.14,3048016.3
2016-12-01,cash_sum,826366.85,2595607.6
2016-12-01,credit_sum,0.0,2595607.6
2016-12-01,check_sum,1470070.09,2595607.6
2016-12-01,transfer_sum,298835.94,2595607.6
2017-01-01,cash_sum,847494.1,2833305.4
2017-01-01,credit_sum,0.0,2833305.4
2017-01-01,check_sum,1800352.86,2833305.4
2017-01-01,transfer_sum,185147.92,2833305.4
2017-02-01,cash_sum,823408.45,2744462.05
2017-02-01,credit_sum,0.0,2744462.05
2017-02-01,check_sum,1742386.99,2744462.05
2017-02-01,transfer_sum,178365.38,2744462.05
2017-03-01,cash_sum,1024103.6,3720083.56
2017-03-01,credit_sum,0.0,3720083.56
2017-03-01,check_sum,2492468.54,3720083.56
2017-03-01,transfer_sum,203166.7,3720083.56
2017-04-01,cash_sum,910570.55,3420369.97
2017-04-01,credit_sum,0.0,3420369.97
2017-04-01,check_sum,2316080.29,3420369.97
2017-04-01,transfer_sum,193397.16,3420369.97
2017-05-01,cash_sum,950992.4,2814453.93
2017-05-01,credit_sum,0.0,2814453.93
2017-05-01,check_sum,1561788.34,2814453.93
2017-05-01,transfer_sum,301314.3,2814453.93
2017-06-01,cash_sum,914737.4,2177509.95
2017-06-01,credit_sum,0.0,2177509.95
2017-06-01,check_sum,1049667.54,2177509.95
2017-06-01,transfer_sum,212751.52,2177509.95
2017-07-01,cash_sum,937785.1,3139916.99
2017-07-01,credit_sum,0.0,3139916.99
2017-07-01,check_sum,1784033.42,3139916.99
2017-07-01,transfer_sum,417651.34,3139916.99
2017-08-01,cash_sum,1087108.8,3220838.34
2017-08-01,credit_sum,0.0,3220838.34
2017-08-01,check_sum,1896537.1,3220838.34
2017-08-01,transfer_sum,236701.17,3220838.34
2017-09-01,cash_sum,1036111.15,2632188.9
2017-09-01,credit_sum,0.0,2632188.9
2017-09-01,check_sum,1342398.82,2632188.9
2017-09-01,transfer_sum,253217.88,2632188.9
2017-10-01,cash_sum,1049364.9,3466856.79
2017-10-01,credit_sum,0.0,3466856.79
2017-10-01,check_sum,2100609.72,3466856.79
2017-10-01,transfer_sum,316387.56,3466856.79
2017-11-01,cash_sum,1058863.1,2677229.49
2017-11-01,credit_sum,0.0,2677229.49
2017-11-01,check_sum,1368762.38,2677229.49
2017-11-01,transfer_sum,249051.05000000002,2677229.49
2017-12-01,cash_sum,1084366.7,3006169.75
2017-12-01,credit_sum,0.0,3006169.75
2017-12-01,check_sum,1535685.48,3006169.75
2017-12-01,transfer_sum,385653.04,3006169.75
2018-01-01,cash_sum,962357.9,3231894.65
2018-01-01,credit_sum,0.0,3231894.65
2018-01-01,check_sum,2064075.76,3231894.65
2018-01-01,transfer_sum,205006.94,3231894.65
2018-02-01,cash_sum,771166.0,2380501.91
2018-02-01,credit_sum,0.0,2380501.91
2018-02-01,check_sum,1190958.85,2380501.91
2018-02-01,transfer_sum,418016.0,2380501.91
2018-03-01,cash_sum,891914.45,3410387.22
2018-03-01,credit_sum,0.0,3410387.22
2018-03-01,check_sum,2230861.45,3410387.22
2018-03-01,transfer_sum,287234.46,3410387.22
2018-04-01,cash_sum,902897.45,2603258.36
2018-04-01,credit_sum,0.0,2603258.36
2018-04-01,check_sum,1457426.6,2603258.36
2018-04-01,transfer_sum,242548.99,2603258.36
2018-05-01,cash_sum,950423.95,3230303.65
2018-05-01,credit_sum,0.0,3230303.65
2018-05-01,check_sum,2010261.2,3230303.65
2018-05-01,transfer_sum,269211.5,3230303.65
2018-06-01,cash_sum,878631.0,2501825.85
2018-06-01,credit_sum,0.0,2501825.85
2018-06-01,check_sum,1338552.91,2501825.85
2018-06-01,transfer_sum,284162.31,2501825.85
2018-07-01,cash_sum,932693.0,2831004.95
2018-07-01,credit_sum,0.0,2831004.95
