doc_date,payment_type,total,doc_total
2014-05-01,cash_sum,146896.2,1999216.45
2014-05-01,credit_sum,-9.98,1999216.45
2014-05-01,check_sum,0.0,1999216.45
2014-05-01,transfer_sum,1852466.76,1999216.45
2014-06-01,cash_sum,118761.05,1198804.96
2014-06-01,credit_sum,0.0,1198804.96
2014-06-01,check_sum,0.0,1198804.96
2014-06-01,transfer_sum,1080043.91,1198804.96
2014-07-01,cash_sum,99796.95,1481791.4
2014-07-01,credit_sum,0.0,1481791.4
2014-07-01,check_sum,0.0,1481791.4
2014-07-01,transfer_sum,1381994.45,1481791.4
2014-08-01,cash_sum,95242.23,1672489.75
2014-08-01,credit_sum,0.0,1672489.75
2014-08-01,check_sum,0.0,1672489.75
2014-08-01,transfer_sum,1577247.52,1672489.75
2014-09-01,cash_sum,424154.10000000003,2680966.53
2014-09-01,credit_sum,0.0,2680966.53
2014-09-01,check_sum,0.0,2680966.53
2014-09-01,transfer_sum,2257030.79,2680966.53
2014-10-01,cash_sum,67715.4,1356952.9
2014-10-01,credit_sum,0.0,1356952.9
2014-10-01,check_sum,0.0,1356952.9
2014-10-01,transfer_sum,1289311.95,1356952.9
2014-11-01,cash_sum,50430.1,1136803.22
2014-11-01,credit_sum,0.0,1136803.22
2014-11-01,check_sum,0.0,1136803.22
2014-11-01,transfer_sum,1086373.13,1136803.22
2014-12-01,cash_sum,58980.35,801908.3200000001
2014-12-01,credit_sum,0.0,801908.3200000001
2014-12-01,check_sum,0.0,801908.3200000001
2014-12-01,transfer_sum,743017.9700000001,801908.3200000001
2015-01-01,cash_sum,87894.95,1637912.57
2015-01-01,credit_sum,0.0,1637912.57
2015-01-01,check_sum,0.0,1637912.57
2015-01-01,transfer_sum,1550018.45,1637912.57
2015-02-01,cash_sum,59052.0,1090663.54
2015-02-01,credit_sum,0.0,1090663.54
2015-02-01,check_sum,0.0,1090663.54
2015-02-01,transfer_sum,1031780.69,1090663.54
2015-03-01,cash_sum,54240.25,2033529.92
2015-03-01,credit_sum,0.0,2033529.92
2015-03-01,check_sum,0.0,2033529.92
2015-03-01,transfer_sum,1979290.43,2033529.92
2015-04-01,cash_sum,80634.95,2081843.56
2015-04-01,credit_sum,0.0,2081843.56
2015-04-01,check_sum,0.0,2081843.56
2015-04-01,transfer_sum,2001209.06,2081843.56
2015-05-01,cash_sum,2427441.93,2444241.93
2015-05-01,credit_sum,0.0,2444241.93
2015-05-01,check_sum,0.0,2444241.93
2015-05-01,transfer_sum,16800.0,2444241.93
2015-06-01,cash_sum,2038555.8,2122612.98
2015-06-01,credit_sum,0.0,2122612.98
2015-06-01,check_sum,0.0,2122612.98
2015-06-01,transfer_sum,84057.27,2122612.98
2015-07-01,cash_sum,63224.6,2513792.33
2015-07-01,credit_sum,0.0,2513792.33
2015-07-01,check_sum,0.0,2513792.33
2015-07-01,transfer_sum,2450567.76,2513792.33
2015-08-01,cash_sum,107415.85,2456839.92
2015-08-01,credit_sum,0.0,2456839.92
2015-08-01,check_sum,0.0,2456839.92
2015-08-01,transfer_sum,2349424.11,2456839.92
2015-09-01,cash_sum,158357.41,2663056.26
2015-09-01,credit_sum,0.0,2663056.26
2015-09-01,check_sum,0.0,2663056.26
2015-09-01,transfer_sum,2504698.91,2663056.26
2015-10-01,cash_sum,165523.6,2811554.64
2015-10-01,credit_sum,0.0,2811554.64
2015-10-01,check_sum,0.0,2811554.64
2015-10-01,transfer_sum,2646031.39,2811554.64
2015-11-01,cash_sum,127728.40000000001,2485340.4
2015-11-01,credit_sum,0.0,2485340.4
2015-11-01,check_sum,0.0,2485340.4
2015-11-01,transfer_sum,2357612.14,2485340.4
2015-12-01,cash_sum,167943.95,2208900.3
2015-12-01,credit_sum,0.0,2208900.3
2015-12-01,check_sum,0.0,2208900.3
2015-12-01,transfer_sum,2040956.41,2208900.3
2016-01-01,cash_sum,162998.95,2290773.95
2016-01-01,credit_sum,0.0,2290773.95
2016-01-01,check_sum,0.0,2290773.95
2016-01-01,transfer_sum,2127775.46,2290773.95
2016-02-01,cash_sum,186509.8,2231015.77
2016-02-01,credit_sum,0.0,2231015.77
2016-02-01,check_sum,0.0,2231015.77
2016-02-01,transfer_sum,2044506.06,2231015.77
2016-03-01,cash_sum,144688.58,2641858.88
2016-03-01,credit_sum,0.0,2641858.88
2016-03-01,check_sum,0.0,2641858.88
2016-03-01,transfer_sum,2497170.41,2641858.88
2016-04-01,cash_sum,459660.00999999995,2787334.25
2016-04-01,credit_sum,0.0,2787334.25
2016-04-01,check_sum,0.0,2787334.25
2016-04-01,transfer_sum,2327674.36,2787334.25
2016-05-01,cash_sum,137340.5,3286471.16
2016-05-01,credit_sum,0.0,3286471.16
2016-05-01,check_sum,0.0,3286471.16
2016-05-01,transfer_sum,3149131.53,3286471.16
2016-06-01,cash_sum,126794.15,3459234.38
2016-06-01,credit_sum,0.0,3459234.38
