pdt_code,pdt_name,current_inv,profit_margin,profit_per_qty,summary_purchases_date_range,summary_purchases_latest_date,summary_purchases_latest_price,summary_purchases_min_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price,summary_sales_median_price,summary_sales_min_price,summary_purchases_total_qty,summary_sales_total_qty,summary_sales_avg_qty_per_month,total_profit
BAO001,BEEF AORTA 20KG/CTNS,48.77,0.24,2.4,2023-06-01 - 2023-09-04,2023-07-21,7.6,7.51,2023-08-01 - 2023-09-04,2023-08-16,10.0,10.0,10.0,10.0,172.53,50.49,50.49,282.52
BBA001,BEEF BALL 1kg/pkt (PING PONG),102.0,0.05,0.5,2023-08-01 - 2023-09-04,2023-08-28,9.0,9.0,2023-08-01 - 2023-09-04,2023-09-03,9.2,11.0,10.0,9.2,300.0,2451.0,2451.0,6108.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2.0,0.14,1.7,2023-08-01 - 2023-09-04,2023-08-04,10.8,10.8,2023-08-01 - 2023-09-04,2023-08-24,19.35,19.35,19.35,12.5,10.0,20.0,20.0,132.9
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,0.03,0.2,2023-06-01 - 2023-09-04,2023-06-28,6.7,6.7,2023-08-01 - 2023-09-04,2023-08-04,9.5,9.5,9.5,9.5,761.5,19.8,19.8,6383.67
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),137.53,0.03,0.2,2023-08-01 - 2023-09-04,2023-08-22,7.0,7.0,2023-08-01 - 2023-09-04,2023-09-03,8.8,11.0,9.0,7.5,330.91,1623.55,1623.55,5336.02
BBR009,BEEF BRISKET CHOICE GRADE,0.0,0.03,0.3,2023-06-01 - 2023-09-04,2023-06-07,11.0,11.0,2023-06-01 - 2023-09-04,2023-06-07,11.3,11.3,11.3,11.3,34.11,34.11,34.11,10.23
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,0.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-24,12.0,12.0,12.0,12.0,,68.59,68.59,0.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,110.0,0.22,2.2,2023-08-01 - 2023-09-04,2023-08-31,7.6,7.6,2023-08-01 - 2023-09-04,2023-08-30,9.8,9.8,9.8,9.8,300.0,1320.0,1320.0,10053.0
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,18.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-30,8.39,9.63,9.63,7.2,,4788.0,4788.0,0.0
BCR002,"BEEF CHUCK EYEROLL CHOICE ,,USA,,SWIFT",75.52,0.05,0.65,2023-08-01 - 2023-09-04,2023-08-22,13.5,12.8,2023-08-01 - 2023-09-04,2023-08-21,17.3,19.0,19.0,17.3,64.51,146.04,146.04,4212.6
BCT001,BEEF CHUCK TENDER (BRAZIL),100.45,0.0,0.0,2023-08-01 - 2023-09-04,2023-08-29,7.8,7.8,2023-08-01 - 2023-09-04,2023-08-28,8.0,9.3,9.3,8.0,2595.18,2631.77,2631.77,862.35
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,48.0,,,,,,,2023-08-01 - 2023-09-04,2023-08-06,10.5,10.5,10.5,10.5,,24.41,24.41,0.0
BER001,BEEF EYEROUND,142.56,0.02,0.3,2023-08-01 - 2023-09-04,2023-08-28,12.5,12.5,2023-08-01 - 2023-09-04,2023-09-02,14.5,14.5,14.5,13.8,239.1,432.48,432.48,1515.72
