pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_max_price
BAO001,BEEF AORTA 20KG/CTNS,48.77,2023-02-01 - 2023-08-30,7.51,7.6,2023-02-01 - 2023-08-30,2023-08-16,10.0,10.5
BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),0.0,2021-08-01 - 2023-08-30,27.2,27.2,2021-08-01 - 2023-08-30,2022-08-26,28.2,28.2
BBA001,BEEF BALL 1kg/pkt (PING PONG),102.0,2023-02-01 - 2023-08-30,9.0,9.0,2023-02-01 - 2023-08-30,2023-08-29,9.35,12.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,2.0,2023-02-01 - 2023-08-30,10.8,12.0,2023-02-01 - 2023-08-30,2023-08-24,19.35,19.35
BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,0.0,2021-08-01 - 2023-08-30,3.0,3.9,2021-08-01 - 2023-08-30,2022-08-16,4.5,4.5
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,2023-02-01 - 2023-08-30,6.7,7.5,2023-02-01 - 2023-08-30,2023-08-04,9.5,11.0
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),137.53,2023-02-01 - 2023-08-30,6.9,8.0,2023-02-01 - 2023-08-30,2023-08-29,10.5,11.0
BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,0.0,2021-08-01 - 2023-08-30,7.2,8.0,2021-08-01 - 2023-08-30,2022-05-03,11.0,11.0
BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),0.0,2021-08-01 - 2023-08-30,7.3,7.4,2021-08-01 - 2023-08-30,2022-05-29,7.6,11.0
BBR009,BEEF BRISKET CHOICE GRADE,0.0,2023-02-01 - 2023-08-30,11.0,11.0,2023-02-01 - 2023-08-30,2023-06-07,11.3,11.3
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,0.0,,,,2023-02-01 - 2023-08-30,2023-08-12,12.0,12.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,110.0,2023-02-01 - 2023-08-30,7.6,7.7,2023-02-01 - 2023-08-30,2023-08-24,9.8,9.8
BCHO04,BEEF MELTIQUE SIRLOIN STEAK 150GM/PCS,0.0,2021-08-01 - 2023-08-30,5.0,5.0,2021-08-01 - 2023-08-30,2022-07-22,5.5,5.5
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,18.0,2021-08-01 - 2023-08-30,5.0,5.0,2023-02-01 - 2023-08-30,2023-08-21,7.5,13.21
BCR001,BEEF CHUCK BRAZIL,0.0,2023-02-01 - 2023-08-30,7.2,7.2,2023-02-01 - 2023-08-30,2023-03-06,7.8,7.8
BCR002,"BEEF CHUCK EYEROLL CHOICE ,,USA,,SWIFT",75.52,2023-02-01 - 2023-08-30,12.8,13.5,2023-02-01 - 2023-08-30,2023-08-21,17.3,19.0
BCT001,BEEF CHUCK TENDER (BRAZIL),100.45,2023-02-01 - 2023-08-30,7.5,8.5,2023-02-01 - 2023-08-30,2023-08-24,8.0,10.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,48.0,,,,2023-02-01 - 2023-08-30,2023-08-06,10.5,12.0
BCT002-02,2KG BEEF CHUCK TENDER SLICED 4.5mm,0.0,,,,2021-08-01 - 2023-08-30,2021-10-29,9.0,9.0
BCT003,BEEF CHUCK TAIL FLAP MBS 6/7-CHILLED,0.0,2021-08-01 - 2023-08-30,52.4,58.9,2021-08-01 - 2023-08-30,2021-09-14,67.0,67.0
BCT003-01,BEEF CHUCK TAIL FLAP MBS 8/9-CHILLED,0.0,2021-08-01 - 2023-08-30,75.0,75.0,2021-08-01 - 2023-08-30,2021-10-15,95.0,95.0
BCT003-02,BEEF CHUCK TAIL FLAP GRAINFED AUST ANGUS,0.0,,,,2021-08-01 - 2023-08-30,2021-09-02,22.0,22.0
BCT004,BEEF CHUCK TENDER QUALITY,0.0,2023-02-01 - 2023-08-30,7.55,7.6,2023-02-01 - 2023-08-30,2023-04-10,8.0,8.0
BEER01,BEER- HEINEKEN 490ML X 24CANS/CTNS,37.0,2021-08-01 - 2023-08-30,3.44,3.44,2021-08-01 - 2023-08-30,2022-02-05,4.0,4.0
