pdt_code,pdt_name,current_inv,summary_purchases_date_range,summary_purchases_min_price,summary_purchases_max_price,summary_sales_date_range,summary_sales_latest_date,summary_sales_latest_price,summary_sales_min_price,summary_sales_max_price
BAO001,,,2023-03-01 - 2023-09-08,7.51,7.6,2023-03-01 - 2023-09-08,2023-09-04,9.2,8.0,10.5
BAU002,,,2021-09-01 - 2023-09-08,27.2,27.2,2021-09-01 - 2023-09-08,2022-08-26,28.2,28.2,28.2
BBA001,,,2023-03-01 - 2023-09-08,9.0,9.0,2023-03-01 - 2023-09-08,2023-09-07,9.63,9.2,12.0
BBA001-01,,,2023-03-01 - 2023-09-08,10.8,12.0,2023-03-01 - 2023-09-08,2023-08-24,19.35,12.5,19.35
BBG001,,,2021-09-01 - 2023-09-08,3.0,3.9,2021-09-01 - 2023-09-08,2022-08-16,4.5,4.5,4.5
BBR001,,,2023-03-01 - 2023-09-08,6.7,7.5,2023-03-01 - 2023-09-08,2023-08-04,9.5,7.6,11.0
BBR002,,,2023-03-01 - 2023-09-08,6.9,7.4,2023-03-01 - 2023-09-08,2023-09-07,9.5,7.2,11.0
BBR003,,,2021-09-01 - 2023-09-08,7.2,8.0,2021-09-01 - 2023-09-08,2022-05-03,11.0,8.5,11.0
BBR004,,,2021-09-01 - 2023-09-08,7.3,7.3,2021-09-01 - 2023-09-08,2022-05-29,7.6,7.6,11.0
BBR009,,,2023-03-01 - 2023-09-08,11.0,11.0,2023-03-01 - 2023-09-08,2023-06-07,11.3,11.3,11.3
BBR010,,,2023-03-01 - 2023-09-08,6.0,6.0,2023-03-01 - 2023-09-08,2023-09-07,7.0,7.0,7.0
BCHO01,,,,,,2023-03-01 - 2023-09-08,2023-08-24,12.0,12.0,12.0
BCHO03,,,2023-03-01 - 2023-09-08,7.6,7.7,2023-03-01 - 2023-09-08,2023-08-30,9.8,8.6,9.8
BCHO04,,,2021-09-01 - 2023-09-08,5.0,5.0,2021-09-01 - 2023-09-08,2022-07-22,5.5,5.5,5.5
BCHO05,,,2021-09-01 - 2023-09-08,5.0,5.0,2023-03-01 - 2023-09-08,2023-09-06,8.0,7.1,13.21
BCR001,,,2021-09-01 - 2023-09-08,6.5,7.5,2023-03-01 - 2023-09-08,2023-03-06,7.8,7.8,7.8
BCR002,,,2023-03-01 - 2023-09-08,12.8,13.5,2023-03-01 - 2023-09-08,2023-08-21,17.3,13.8,19.0
BCT001,,,2023-03-01 - 2023-09-08,7.5,8.5,2023-03-01 - 2023-09-08,2023-08-28,8.0,7.8,10.5
BCT002,,,,,,2023-03-01 - 2023-09-08,2023-08-06,10.5,9.5,12.0
BCT002-02,,,,,,2021-09-01 - 2023-09-08,2021-10-29,9.0,9.0,9.0
BCT003,,,2021-09-01 - 2023-09-08,52.4,58.9,2021-09-01 - 2023-09-08,2021-09-14,67.0,67.0,67.0
BCT003-01,,,2021-09-01 - 2023-09-08,75.0,75.0,2021-09-01 - 2023-09-08,2021-10-15,95.0,95.0,95.0
BCT003-02,,,,,,2021-09-01 - 2023-09-08,2021-09-02,22.0,22.0,22.0
BCT004,,,2023-03-01 - 2023-09-08,7.55,7.6,2023-03-01 - 2023-09-08,2023-04-10,8.0,7.8,8.0
BEER01,,,2021-09-01 - 2023-09-08,3.44,3.44,2021-09-01 - 2023-09-08,2022-02-05,4.0,4.0,4.0
BER001,,,2023-03-01 - 2023-09-08,12.5,12.5,2023-03-01 - 2023-09-08,2023-09-06,13.8,12.8,15.5
BER002,,,2021-09-01 - 2023-09-08,13.5,13.5,2021-09-01 - 2023-09-08,2022-10-14,14.5,14.5,14.5
BFC001,,,2023-03-01 - 2023-09-08,4.0,4.0,2023-03-01 - 2023-09-08,2023-09-06,5.0,3.6,5.9
BFC003,,,,,,2023-03-01 - 2023-09-08,2023-04-10,8.8,8.8,9.2
BFC004,,,2023-03-01 - 2023-09-08,3.3,3.4,2023-03-01 - 2023-09-08,2023-08-03,3.5,3.5,3.9
BFC005,,,2023-03-01 - 2023-09-08,3.3,3.4,2023-03-01 - 2023-09-08,2023-09-04,4.5,3.6,10.0
BFE001,,,,,,2021-09-01 - 2023-09-08,2022-03-23,3.0,3.0,3.0
BFK001,,,2023-03-01 - 2023-09-08,14.8,14.8,2023-03-01 - 2023-09-08,2023-06-05,15.1,15.1,15.1
BFL001,,,2023-03-01 - 2023-09-08,4.0,4.2,2023-03-01 - 2023-09-08,2023-05-15,6.0,6.0,6.0
BFQ001,,,2021-09-01 - 2023-09-08,4.93,6.8,2023-03-01 - 2023-09-08,2023-04-24,7.5,7.5,7.5
BFQ002,,,2023-03-01 - 2023-09-08,4.76,5.58,2023-03-01 - 2023-09-08,2023-08-11,5.75,5.6,7.5
BFT001,,,2023-03-01 - 2023-09-08,7.2,7.2,2023-03-01 - 2023-09-08,2023-03-22,13.0,9.0,13.5
BFT002,,,2023-03-01 - 2023-09-08,6.0,6.0,2023-03-01 - 2023-09-08,2023-07-20,6.4,6.4,6.4
BFT003,,,2023-03-01 - 2023-09-08,8.0,8.8,2023-03-01 - 2023-09-08,2023-08-01,13.0,11.0,13.0
BFT004,,,2023-03-01 - 2023-09-08,8.2,8.2,2023-03-01 - 2023-09-08,2023-04-19,13.0,9.5,13.5
BFT005,,,2023-03-01 - 2023-09-08,6.0,8.8,2023-03-01 - 2023-09-08,2023-09-06,9.5,6.2,20.0
BFT006,,,2023-03-01 - 2023-09-08,2.9,3.0,2023-03-01 - 2023-09-08,2023-09-06,4.0,3.8,7.3
BFT006-02,,,2021-09-01 - 2023-09-08,2.0,4.4,2023-03-01 - 2023-09-08,2023-08-28,4.2,4.2,6.0
BGC001,,,2021-09-01 - 2023-09-08,12.48,14.9,2023-03-01 - 2023-09-08,2023-09-02,13.46,12.5,18.0
BGC002,,,2021-09-01 - 2023-09-08,13.5,14.8,2023-03-01 - 2023-09-08,2023-08-30,16.5,13.8,16.5
BGC003,,,2021-09-01 - 2023-09-08,13.6,14.4,2021-09-01 - 2023-09-08,2022-04-06,15.0,15.0,17.0
BKN001-01,,,2023-03-01 - 2023-09-08,6.9,8.8,2023-03-01 - 2023-09-08,2023-08-16,9.08,7.3,9.8
BKN001-02,,,2023-03-01 - 2023-09-08,6.9,8.15,2023-03-01 - 2023-09-08,2023-07-04,9.5,8.2,9.5
