pdt_code,pdt_name,current_inv,purchases_data_date_range,purchases_min_price,purchases_max_price,sales_data_date_range,latest_sales_date,latest_sales_price,sales_min_price,sales_max_price
BAO001,BEEF AORTA 20KG/CTNS,0.0,2023-04-01 - 2023-10-03,6.5,7.6,2023-04-01 - 2023-10-03,2023-09-25,8.5,8.0,10.5
BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),0.0,2021-10-01 - 2023-10-03,27.2,27.2,2021-10-01 - 2023-10-03,2022-08-26,28.2,28.2,28.2
BBA001,BEEF BALL 1kg/pkt (PING PONG),179.0,2023-04-01 - 2023-10-03,9.0,9.0,2023-04-01 - 2023-10-03,2023-10-03,10.3,9.2,12.0
BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,5.0,2023-04-01 - 2023-10-03,10.8,12.0,2023-04-01 - 2023-10-03,2023-09-27,12.5,12.5,19.35
BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,0.0,2021-10-01 - 2023-10-03,3.0,3.9,2021-10-01 - 2023-10-03,2022-08-16,4.5,4.5,4.5
BBR001,BEEF BRISKET (BEAUVALLET-BRAZIL),0.0,2023-04-01 - 2023-10-03,6.7,7.5,2023-04-01 - 2023-10-03,2023-08-04,9.5,7.6,11.0
BBR002,BEEF BRISKET PE * (FRIBOI-BRAZIL),17.16,2023-04-01 - 2023-10-03,6.9,7.4,2023-04-01 - 2023-10-03,2023-09-22,10.5,7.2,11.0
BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,0.0,2021-10-01 - 2023-10-03,7.2,8.0,2021-10-01 - 2023-10-03,2022-05-03,11.0,8.5,11.0
BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),318.0,2023-04-01 - 2023-10-03,7.2,7.2,2023-04-01 - 2023-10-03,2023-10-03,9.0,7.6,11.0
BBR009,BEEF BRISKET CHOICE GRADE,0.0,2023-04-01 - 2023-10-03,11.0,11.0,2023-04-01 - 2023-10-03,2023-06-07,11.3,11.3,11.3
BBR010,BEEF BRISKET PE * (GJ-BRAZIL),0.0,2023-04-01 - 2023-10-03,6.0,6.0,2023-04-01 - 2023-10-03,2023-09-11,7.0,7.0,7.0
BCHO01,BEEF CHOP 190-220gm 5kg/pkt,0.0,,,,2023-04-01 - 2023-10-03,2023-09-30,11.5,11.5,12.0
BCHO03,BEEF CHOP (STRIPLOIN) STEAK (BUTHER'S RIDGE) 500GMX20PKT,70.0,2023-04-01 - 2023-10-03,7.6,7.7,2023-04-01 - 2023-10-03,2023-10-03,9.8,8.6,9.8
BCHO04,BEEF MELTIQUE SIRLOIN STEAK 150GM/PCS,0.0,2021-10-01 - 2023-10-03,5.0,5.0,2021-10-01 - 2023-10-03,2022-07-22,5.5,5.5,5.5
BCHO05,BEEF MELTIQUE SIRLOIN STEAK 200GM/PCS,56.0,2021-10-01 - 2023-10-03,5.0,5.0,2023-04-01 - 2023-10-03,2023-10-03,9.18,7.1,13.21
BCR001,BEEF CHUCK BRAZIL,0.0,2021-10-01 - 2023-10-03,6.5,7.5,2021-10-01 - 2023-10-03,2023-03-06,7.8,7.8,9.0
BCR002,"BEEF CHUCK EYEROLL CHOICE ,,USA,,SWIFT",70.62,2023-04-01 - 2023-10-03,12.8,13.5,2023-04-01 - 2023-10-03,2023-10-01,17.3,13.8,19.0
BCT001,BEEF CHUCK TENDER (BRAZIL),46.36,2023-04-01 - 2023-10-03,7.5,8.5,2023-04-01 - 2023-10-03,2023-09-13,8.0,7.8,10.5
BCT002,BEEF CHUCK TENDER SLICED 1.5MM,56.0,,,,2023-04-01 - 2023-10-03,2023-09-27,11.0,9.5,12.0
BCT002-02,2KG BEEF CHUCK TENDER SLICED 4.5mm,0.0,,,,2021-10-01 - 2023-10-03,2021-10-29,9.0,9.0,9.0
BCT003-01,BEEF CHUCK TAIL FLAP MBS 8/9-CHILLED,0.0,2021-10-01 - 2023-10-03,75.0,75.0,2021-10-01 - 2023-10-03,2021-10-15,95.0,95.0,95.0
BCT004,BEEF CHUCK TENDER QUALITY,0.0,2023-04-01 - 2023-10-03,7.6,7.6,2023-04-01 - 2023-10-03,2023-04-10,8.0,8.0,8.0
BEER01,BEER- HEINEKEN 490ML X 24CANS/CTNS,37.0,2021-10-01 - 2023-10-03,3.44,3.44,2021-10-01 - 2023-10-03,2022-02-05,4.0,4.0,4.0
BER001,BEEF EYEROUND,117.33,2023-04-01 - 2023-10-03,12.5,12.5,2023-04-01 - 2023-10-03,2023-09-30,13.8,12.8,15.0
BER002,BEEF EYEROUND CHILLED NZ-SLIVERFIRM,0.0,2021-10-01 - 2023-10-03,13.5,13.5,2021-10-01 - 2023-10-03,2022-10-14,14.5,14.5,14.5
BFC001,BEEF FATS 25KG/CTNS (OAKEY-AUST),261.83,2023-04-01 - 2023-10-03,4.0,4.0,2023-04-01 - 2023-10-03,2023-10-03,5.0,3.6,5.9
BFC003,BEEF FLOSS 2KG/PKT,0.0,,,,2023-04-01 - 2023-10-03,2023-04-10,8.8,8.8,8.8
BFC004,BEEF FATS (BEAUVALLET-BRAZIL),0.0,2023-04-01 - 2023-10-03,3.3,3.4,2023-04-01 - 2023-10-03,2023-08-03,3.5,3.5,3.9
BFC005,BEEF FATS 27.20KG/CTNS (AMG),191.74,2023-04-01 - 2023-10-03,3.3,3.4,2023-04-01 - 2023-10-03,2023-10-03,4.8,3.6,10.0
BFE001,BEEF FEET CUT,0.0,,,,2021-10-01 - 2023-10-03,2022-03-23,3.0,3.0,3.0
BFK001,BEEF CHEEK (SILVERFERN-FROZEN),0.0,2023-04-01 - 2023-10-03,14.8,14.8,2023-04-01 - 2023-10-03,2023-06-05,15.1,15.1,15.1
BFL001,BEEF LIPS / PAPPILAE HARVEY 15KG/CTNS,0.0,2023-04-01 - 2023-10-03,4.0,4.0,2023-04-01 - 2023-10-03,2023-05-15,6.0,6.0,6.0
BFQ001,BEEF FOREQUARTER B/LESS (QUALITY BEEF-BRAZIL),0.0,2021-10-01 - 2023-10-03,4.93,6.8,2023-04-01 - 2023-10-03,2023-04-24,7.5,7.5,7.5
BFQ002,BEEF FOREQUARTER B/LESS (MINERVA-HALAL),6916.76,2023-04-01 - 2023-10-03,4.76,5.58,2023-04-01 - 2023-10-03,2023-09-22,5.6,5.6,7.0
BFT001,BEEF HOCK TENDON (MIVERVA-BRAZIL),0.0,2021-10-01 - 2023-10-03,2.11,12.2,2021-10-01 - 2023-10-03,2023-03-22,13.0,9.0,14.0
BFT002,BEEF TENDON (FRIBOI-BRAZIL),0.0,2023-04-01 - 2023-10-03,6.0,6.0,2023-04-01 - 2023-10-03,2023-07-20,6.4,6.4,6.4
BFT003,BEEF HOCK TENDON MULTI  CUT 4,77.36,2023-04-01 - 2023-10-03,8.0,8.8,2023-04-01 - 2023-10-03,2023-08-01,13.0,11.0,13.0
BFT004,BEEF FLEXOR TENDON HIND (QUALITY BEEF-BRAZIL),0.0,2021-10-01 - 2023-10-03,7.6,12.2,2023-04-01 - 2023-10-03,2023-04-19,13.0,9.5,13.5
BFT005,BEEF HOCK TENDON (BEAUVALLET/FRIBOI-BRAZIL),455.72,2023-04-01 - 2023-10-03,6.0,8.8,2023-04-01 - 2023-10-03,2023-10-03,13.0,6.2,20.0
BFT006,BEEF PADDY WACK (QUALITY BEEF),1.35,2023-04-01 - 2023-10-03,2.9,3.0,2023-04-01 - 2023-10-03,2023-09-28,4.0,3.8,7.3
BFT006-02,BEEF PADDY WACK/LIGAMENTUM (MINERVA),0.0,2021-10-01 - 2023-10-03,3.2,4.4,2023-04-01 - 2023-10-03,2023-09-26,4.2,4.2,5.0
BGC001,BEEF- BEEF GOLDEN COIN MUSCLE (MINERVA-BRAZIL),4143.19,2021-10-01 - 2023-10-03,12.48,14.9,2023-04-01 - 2023-10-03,2023-10-02,13.5,12.7,18.0
BGC002,BEEF- BEEF GOLDEN COIN MUSCLE (QUALITY BEEF-BRAZIL),1794.21,2021-10-01 - 2023-10-03,13.5,13.5,2023-04-01 - 2023-10-03,2023-09-27,16.5,13.8,16.5
BGC003,BEEF- BEEF GOLDEN COIN MUSCLE (SWIFT-USA),0.0,2021-10-01 - 2023-10-03,13.6,14.0,2021-10-01 - 2023-10-03,2022-04-06,15.0,15.0,16.0
BKN001-01,BEEF KNUCKLE (MINERVA-BRAZIL),0.0,2023-04-01 - 2023-10-03,6.9,8.5,2023-04-01 - 2023-10-03,2023-08-16,9.03,7.3,9.8
BKN001-02,BEEF KNUCKLE CROSS CUT (CUT 4),39.45,2023-04-01 - 2023-10-03,6.9,6.9,2023-04-01 - 2023-10-03,2023-07-04,9.5,8.2,9.5
BKN001-03,BEEF KNUCKLE CUT 2,0.0,2021-10-01 - 2023-10-03,9.0,9.0,2023-04-01 - 2023-10-03,2023-06-23,8.8,8.8,8.8
BKN001-04,BEEF KNUCKLE (GJ-BRAZIL) 5-6pcs,76.37,2023-04-01 - 2023-10-03,6.75,6.9,2023-04-01 - 2023-10-03,2023-08-26,6.9,6.9,7.2
BKN001-05,BEEF KNUCKLE (FRIBOI-SA),2268.4,2023-04-01 - 2023-10-03,6.0,8.0,2023-04-01 - 2023-10-03,2023-10-03,9.4,6.3,9.8
BKN002,BEEF CUBE 5KGX2PKT/CTNS,0.0,2023-04-01 - 2023-10-03,7.5,7.5,2023-04-01 - 2023-10-03,2023-06-28,8.5,7.0,8.5
BKN002-02,BEEF CUBE (FOREQUARTER) 2' X 2' 20KG/CTN,885.13,2023-04-01 - 2023-10-03,7.2,7.5,2023-04-01 - 2023-10-03,2023-10-03,7.5,7.0,11.0
BKN002-03,BEEF CUBE (FOREQUARTER) 3CM X 3CM 5KG/PKT,0.0,,,,2023-04-01 - 2023-10-03,2023-07-24,6.8,6.8,6.8
