No,Document Number,Document Type,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
1,5794,I,01.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,"1,368.00",3.4,"4,651.20"
2,5794,I,01.10.2022,PM-09,PORK MINCED GRIND TWICE 5KG/PKT,220,3.3,726
3,5794,I,01.10.2022,PM-06,PORK MINCED AA GRIND TWICE 6X2KG/CTNS,90,3.8,342
4,5794,I,01.10.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,935,3.9,"3,646.50"
5,5794,I,01.10.2022,CSLI06,CHICKEN SLICED 1CM 2kgX6pkt,120,4.6,552
6,5794,I,01.10.2022,PCOS04-02,PORK COLLAR CUT PCS,100,4.3,430
7,5794,I,01.10.2022,BMB002,BEEF MARROW BONE CUT 2 INCH,260,1.9,494
8,5794,I,01.10.2022,PRIB07,PORK RIBLETS CUT 2 INCH 5KGX2PKT/CTNS,250,4.5,"1,125.00"
9,5794,I,01.10.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,130,2.5,325
10,5794,I,01.10.2022,PFLO02,PORK FLOSS 6mm 2kgX5pkt,464,3.2,"1,484.80"
11,5794,I,01.10.2022,BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,298,8.6,"2,562.80"
12,5794,I,01.10.2022,PSPA03,PORK- SPARERIB CUT 4'',774,5.3,"4,102.20"
13,5794,I,01.10.2022,PRIB06,PORK- SPARERIB CUT 1 '' X 1 '' 5KGX2PKT/CTNS,40,5.3,212
14,5794,I,01.10.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,45,3.9,175.5
15,5794,I,01.10.2022,CCUB04,CHICKEN CUBE 2KGX6PKT/CTNS,806,4.4,"3,546.40"
16,5795,I,02.10.2022,CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,460,2.5,"1,150.00"
17,5795,I,02.10.2022,PCOS04-02,PORK COLLAR CUT PCS,120,4.3,516
18,5795,I,02.10.2022,PM-01,PORK- MINCED PORK 6X2KG/CTNS,580,3.3,"1,914.00"
19,5795,I,02.10.2022,PM-06,PORK MINCED AA GRIND TWICE 6X2KG/CTNS,86,3.8,326.8
20,5795,I,02.10.2022,BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,244,8.6,"2,098.40"
21,5796,I,03.10.2022,CCUR07,CHICKEN- CURRY CHICKEN (LEE) 10kg/ctn,985,2.7,"2,659.50"
22,5796,I,03.10.2022,PSOF02,PORK SOFTBONE CUT A 5KG/PKT,475,3.9,"1,852.50"
23,5796,I,03.10.2022,PHCU01,PORK HOCK CUBE A 5KGX2PKT/CTNS,475,2.4,"1,140.00"
24,5796,I,03.10.2022,PHOC09,PORK HOCK C4 3X5KG/CTNS,150,2.6,390
25,5796,I,03.10.2022,PHOC14,PORK HOCK S2 800gm 20pcs 15KG/CTNS,75,2.6,195
26,5796,I,03.10.2022,PHOC12,PORK HOCK S2 350-400gm 5KGX2PKT/CTNS,130,2.6,338
27,5796,I,03.10.2022,PHCU02,PORK HOCK CUBE AA 5Kg/Pkt,10,3,30
28,5796,I,03.10.2022,PHOC11,PORK HOCK S2 450-500gm 2X5KG/CTNS,160,2.6,416
29,5796,I,03.10.2022,PCOS04-02,PORK COLLAR CUT PCS,80,4.3,344
30,5796,I,03.10.2022,PFER03,PORK FERMURBONE CUT 5kgX2pkt,740,1.2,888
31,5796,I,03.10.2022,PS-03,PORK SHOULDER SLICED 5mm -6mm 2kg/pkt,90,3.7,333
32,5796,I,03.10.2022,PM-03,PORK- MINCED PORK AA 6X2KG/CTNS,344,3.3,"1,135.20"
33,5796,I,03.10.2022,PCHB03,PORK CHOP BONE IN 1cm 20kg/ctn,600,3.4,"2,040.00"
34,5796,I,03.10.2022,PCHB01,PORK CHOP BONE IN 1.5cm 2X5KG/CTNS,140,3.4,476
35,5796,I,03.10.2022,PCOS04-04,PORK COLLAR SLICED 2-3mm 2kg/pkt,204,4.3,877.2
36,5796,I,03.10.2022,PCOS06,PORK COLLAR SLICED 5mm 2KGX8PKT/CTNS,130,4.3,559
37,5796,I,03.10.2022,BMS004,BEEF KNUCKLE MEAT SLICED 4-5MM 2kg/pkt,180,8.7,"1,566.00"
38,5796,I,03.10.2022,PBEL10-02,PORK BELLY CUBE 7MM X 7MM 4kg/pkt,160,4.5,720
39,5796,I,03.10.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,270,4.5,"1,215.00"
40,5796,I,03.10.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,65,2.5,162.5
41,5796,I,03.10.2022,PFER03,PORK FERMURBONE CUT 5kgX2pkt,740,1.2,888
42,5796,I,03.10.2022,PCHB01,PORK CHOP BONE IN 1.5cm 2X5KG/CTNS,140,3.8,532
43,5796,I,03.10.2022,PCHO07,PORK CHOP 1CM 5kg/pkt,100,4.5,450
44,5796,I,03.10.2022,PCHO01,PORK CHOP 1.5CM 5kgX4pkt,625,3,"1,875.00"
45,5797,I,03.10.2022,PCHB01,PORK CHOP BONE IN 1.5cm 2X5KG/CTNS,140,3.8,532
46,5797,I,03.10.2022,PCHB01,PORK CHOP BONE IN 1.5cm 2X5KG/CTNS,140,3.8,532
47,5798,I,04.10.2022,BMS002,BEEF MEAT SLICED 3.3MM 6X2KG/CTNS,"1,040.00",8.5,"8,840.00"
48,5798,I,04.10.2022,BMI002,BEEF- MINCED BEEF 2KGX5PKT/CTNS,94,4,376
49,5798,I,04.10.2022,PLOI08-01,PORK LOIN SLICED 4mm 10X2KG/CTNS,124,4.5,558
50,5798,I,04.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,50,3.4,170
51,5798,I,04.10.2022,POCU01,PORK OIL CUBE 5kg/pkt,"1,760.00",2.3,"4,048.00"
52,5798,I,04.10.2022,PCOS04-02,PORK COLLAR CUT PCS,80,4.3,344
53,5798,I,04.10.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,250,4.5,"1,125.00"
54,5798,I,04.10.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,65,2.5,162.5
55,5798,I,04.10.2022,PBEL21-08,PORK BELLY SLICED 3mm 2kgX5pkt,462,4.5,"2,079.00"
56,5798,I,04.10.2022,PBEL10,PORK BELLY CUBE _ 01 2Kgx10Pkt,92,5.3,487.6
57,5798,I,04.10.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,25,3,75
58,5798,I,04.10.2022,BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,94,8.6,808.4
59,5799,I,05.10.2022,PS-05,PORK LEG SLICED 1kg/pkt,100,4.1,410
60,5799,I,05.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,528,3.4,"1,795.20"
61,5799,I,05.10.2022,PS-02,PORK LEG SLICED 2KGX6PKT/CTNS,386,3.4,"1,312.40"
62,5799,I,05.10.2022,PS-04,PORK LEG SLICED 8mm 2kgX5pkt,110,3.2,352
63,5799,I,05.10.2022,PS-07,???PORK LEG SLICED 3mm 1.8KG NET,350,3.2,"1,120.00"
64,5799,I,05.10.2022,PM-04,PORK MINCED 7/3 GRIND TWICE 6X2KG/CTNS,74,3.3,244.2
65,5799,I,05.10.2022,PM-05,PORK MINCED CHILL FRESH,140,3.3,462
66,5799,I,05.10.2022,CLQC03,CHICKEN- CURRY CHICKEN (30gm) 5kgX2pkt,"1,120.00",2.4,"2,688.00"
67,5799,I,05.10.2022,PRIB07,PORK RIBLETS CUT 2 INCH 5KGX2PKT/CTNS,150,4.5,675
68,5799,I,05.10.2022,PRIB08,PORK RIBLETS CUT 2-2 1/2' 5kgX2pkt,270,4.5,"1,215.00"
69,5799,I,05.10.2022,PRIB05,PORK RIBLETS CUBE 5KGX2PKT/CTNS,140,2.5,350
70,5799,I,05.10.2022,PHCU01,PORK HOCK CUBE A 5KGX2PKT/CTNS,260,2.4,624
71,5799,I,05.10.2022,PHOC07,PORK HOCK C2 10KG/CTNS,100,2.6,260
72,5799,I,05.10.2022,PHOC14,PORK HOCK S2 800gm 20pcs 15KG/CTNS,75,2.6,195
73,5799,I,05.10.2022,PHOC12,PORK HOCK S2 350-400gm 5KGX2PKT/CTNS,80,2.6,208
74,5799,I,05.10.2022,PHOC09,PORK HOCK C4 3X5KG/CTNS,165,2.6,429
75,5799,I,05.10.2022,PCOS04-02,PORK COLLAR CUT PCS,80,4.3,344
76,5799,I,05.10.2022,BMS003,BEEF MEAT SLICED 2-3MM 2kgX5pkt,400,8.6,"3,440.00"
77,5799,I,05.10.2022,BMS008-01,BEEF MEAT SLICED 2MM X 3' X 1.5' 1KG/PKT,124,8.6,"1,066.40"
78,5799,I,05.10.2022,PTRI04,PORK BELLY STRIPES 3X5KG/CTNS,5,3,15
79,5799,I,05.10.2022,PBEL21-08,PORK BELLY SLICED 3mm 2kgX5pkt,112,4.5,504
