#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
1,361645,04.01.2023,UCF0036,FENG ZHEN LOR MEE,FENG ZHEN LOR MEE,SGD,0,0,251.1,36-1645,,,3/1 23100695,3/1 23100695,3/1 23100695
2,361646,04.01.2023,UCS0228,SHU WEI YUAN FOOD,SHU WEI YUAN FOOD,SGD,0,0,163,36-1646,,,3-Jan,3-Jan,3-Jan
3,361648,03.01.2023,UCN0015,365 FOOD SERVICES PTE LTD,365 FOOD SERVICES PTE LTD,SGD,0,"1,835.85",0,36-1648,,,29/12-3/1 B.TRANS,29/12-3/1 B.TRANS,29/12-3/1 B.TRANS
4,361649,04.01.2023,UCD0025,D AND S MINIMART,D AND S MINIMART,SGD,0,0,234.9,36-1649,,,3-Jan,3-Jan,3-Jan
5,361650,03.01.2023,UCN0053,365 FOOD SERVICES PTE LTD,365 FOOD SERVICES PTE LTD,SGD,0,443.16,0,36-1650,,,29/12-3/1 B.TRANS,29/12-3/1 B.TRANS,29/12-3/1 B.TRANS
6,361651,04.01.2023,UCF0105,FISHBALL NOODLES (BEDOK),FISHBALL NOODLES (BEDOK),SGD,0,0,88.1,36-1651,,,3/1 23101006,3/1 23101006,3/1 23101006
7,361652,04.01.2023,UCW0125,218 MIXED VEG RICE,218 MIXED VEG RICE,SGD,0,0,325,36-1652,,,3/1 23101024,3/1 23101024,3/1 23101024
8,361653,03.01.2023,UCS0302,365 FOOD SERVICE PTE LTD,365 FOOD SERVICE PTE LTD,SGD,0,517.77,0,36-1653,,,31/12-3/1 B.TRANS,31/12-3/1 B.TRANS,31/12-3/1 B.TRANS
9,361654,04.01.2023,UCM0187,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,84.2,36-1654,,,3-Jan,3-Jan,3-Jan
10,361655,03.01.2023,UCS0315,365 FOOD SERVICE PTE LTD,365 FOOD SERVICE PTE LTD,SGD,0,597.54,0,36-1655,,,28/12-2/1 B.TRANS,28/12-2/1 B.TRANS,28/12-2/1 B.TRANS
11,361656,04.01.2023,UCL0159,NIAN QIHUI,NIAN QIHUI,SGD,0,0,298.4,36-1656,,,2/3/2001,2/3/2001,2/3/2001
12,361657,04.01.2023,UCT0274,TIAN TIAN LAI FISH SOUP (UBI),TIAN TIAN LAI FISH SOUP (UBI),SGD,0,0,131.7,36-1657,,,3/1 23100934,3/1 23100934,3/1 23100934
13,361658,04.01.2023,UCP0122,PIN XIANG XIAO CHU,PIN XIANG XIAO CHU,SGD,0,228.56,0,36-1658,,,31/12-1/1 B.TRANS,31/12-1/1 B.TRANS,31/12-1/1 B.TRANS
14,361659,04.01.2023,UCD0022,DAILY PRICE FAIR PTE LTD (WEST COAST),DAILY PRICE FAIR PTE LTD (WEST COAST),SGD,0,0,70.6,36-1659,,,31-Dec,31-Dec,31-Dec
15,361660,04.01.2023,UCK0061,K.S.KURMA CO PTE LTD,K.S.KURMA CO PTE LTD,SGD,0,0,138.5,36-1660,,,31-Dec,31-Dec,31-Dec
16,361661,04.01.2023,UCC0008,CASH,CASH,SGD,0,0,150,36-1661,,,31-Dec,31-Dec,31-Dec
17,361662,04.01.2023,UCX0193,XI AN KITCHEN,XI AN KITCHEN,SGD,0,620.6,0,36-1662,,,6/12-27/12 B.TRANS,6/12-27/12 B.TRANS,6/12-27/12 B.TRANS
18,361663,04.01.2023,UCG0090,GRINDELWALD SUPERMARKET,GRINDELWALD SUPERMARKET,SGD,0,0,291.9,36-1663,,,3-Jan,3-Jan,3-Jan
19,361664,04.01.2023,UCY0140,YAK HONG MINIMART PTE LTD,YAK HONG MINIMART PTE LTD,SGD,0,0,238.9,36-1664,,,3-Jan,3-Jan,3-Jan
20,361665,04.01.2023,UCM0311,309 MOOKATA,309 MOOKATA,SGD,0,192,0,36-1665,,,3/1 B.TRANS 23100889,3/1 B.TRANS 23100889,3/1 B.TRANS 23100889
21,361666,04.01.2023,UCK0059,KAO WESTERN KALLANG,KAO WESTERN KALLANG,SGD,0,0,142.5,36-1666,,,1-Jan,1-Jan,1-Jan
22,361667,04.01.2023,UCM0187,MA BO (FRIED FISH) LOR MEE PTE.LTD,MA BO (FRIED FISH) LOR MEE PTE.LTD,SGD,0,0,84.2,36-1667,,,1-Jan,1-Jan,1-Jan
23,361668,04.01.2023,UCL0159,NIAN QIHUI,NIAN QIHUI,SGD,0,0,93.9,36-1668,,,1-Jan,1-Jan,1-Jan
24,361669,04.01.2023,UCH0137,HOUGANG 309 WESTERN FOOD,HOUGANG 309 WESTERN FOOD,SGD,0,340.96,0,36-1669,,,3/1 B.TRANS 23100926,3/1 B.TRANS 23100926,3/1 B.TRANS 23100926
25,361670,04.01.2023,UCT0252,TENG YOON POH TRADING AS MOUNTAIN COFFEE,TENG YOON POH TRADING AS MOUNTAIN COFFEE,SGD,0,0,174.9,36-1670,,,1-Jan,1-Jan,1-Jan
26,361671,04.01.2023,UCM0182,MA JI SHOU GONG BAO DIAN,MA JI SHOU GONG BAO DIAN,SGD,0,0,157.9,36-1671,,,1/1 23100325,1/1 23100325,1/1 23100325
27,361672,04.01.2023,UCK0059,KAO WESTERN KALLANG,KAO WESTERN KALLANG,SGD,0,0,90,36-1672,,,2-Jan,2-Jan,2-Jan
28,361673,04.01.2023,UCO0063,A FAMOSA(OLD WORLD BAK KUT TEH),A FAMOSA(OLD WORLD BAK KUT TEH),SGD,0,131.87,0,36-1673,,,"3/1 B.TRANS 23100919,0920","3/1 B.TRANS 23100919,0920","3/1 B.TRANS 23100919,0920"
29,361674,04.01.2023,UCM0238,MEI JIA YUAN,MEI JIA YUAN,SGD,0,0,62.6,36-1674,,,2-Jan,2-Jan,2-Jan
30,361675,04.01.2023,UCC0178,CASH (GUI ),CASH (GUI ),SGD,0,0,93.9,36-1675,,,1-Jan,1-Jan,1-Jan
31,361676,04.01.2023,UCY0063,YUAN MAO LAMIAN/FISH SOUP,YUAN MAO LAMIAN/FISH SOUP,SGD,0,0,27,36-1676,,,2-Jan,2-Jan,2-Jan
32,361677,04.01.2023,UCX0204,XIAO YU FU PTE LTD,XIAO YU FU PTE LTD,SGD,0,672.21,0,36-1677,,,24/12-1/1 B.TRANS,24/12-1/1 B.TRANS,24/12-1/1 B.TRANS
33,361678,04.01.2023,UCC0051,CHICKEN HOUSE PTE LTD,CHICKEN HOUSE PTE LTD,SGD,0,0,203.4,36-1678,,,2-Jan,2-Jan,2-Jan
34,361306,03.01.2023,UCN0081,NIU CHE SHUI FISH BALL NOODLE,NIU CHE SHUI FISH BALL NOODLE,SGD,0,0,105,36-1306,,,28-Dec,28-Dec,28-Dec
35,361307,03.01.2023,UCC0199,CHUA HEE LOCK,CHUA HEE LOCK,SGD,0,0,57.8,36-1307,,,28-Dec,28-Dec,28-Dec
36,361308,03.01.2023,UCB0083,BILLYS AND BROTHERS NOODLE HOUSE,BILLYS AND BROTHERS NOODLE HOUSE,SGD,0,0,37.4,36-1308,,,28-Dec,28-Dec,28-Dec
37,361309,03.01.2023,UCX0194,XIN MEI NOODLE HOUSE,XIN MEI NOODLE HOUSE,SGD,0,0,48.2,36-1309,,,28-Dec,28-Dec,28-Dec
38,361310,03.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,33.3,36-1310,,,25-Oct,25-Oct,25-Oct
39,361311,03.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,202.5,36-1311,,,8/12 22236026,8/12 22236026,8/12 22236026
40,361312,03.01.2023,UCC0208,CHEW LONG KOK TRADING AS LIANHE HOUSE,CHEW LONG KOK TRADING AS LIANHE HOUSE,SGD,0,0,745,36-1312,,,20-26/12 1963 3019,20-26/12 1963 3019,20-26/12 1963 3019
41,361313,03.01.2023,UCG0100,GOI GUAN SOON TRADING AS CHUAN LAI GUO ZHI WANG,GOI GUAN SOON TRADING AS CHUAN LAI GUO ZHI WANG,SGD,0,0,649,36-1313,,,8-16/12,8-16/12,8-16/12
42,361314,03.01.2023,UCC0080,CASH (RAY),CASH (RAY),SGD,0,0,251,36-1314,,,9-Dec,9-Dec,9-Dec
43,361315,03.01.2023,UCR0050,HUP SOON RICE & PORRIDGE,HUP SOON RICE & PORRIDGE,SGD,0,0,767.9,36-1315,,,30-31/12,30-31/12,30-31/12
44,361316,03.01.2023,UCM0307,MING SOON HUAT TRADING PTE LTD,MING SOON HUAT TRADING PTE LTD,SGD,0,0,212.7,36-1316,,,31-Dec,31-Dec,31-Dec
45,361317,03.01.2023,UCC0165,CASH (JESSICA),CASH (JESSICA),SGD,0,0,75.1,36-1317,,,30-Dec,30-Dec,30-Dec
46,361318,03.01.2023,UCK0051,KEE (GZ 6262),KEE (GZ 6262),SGD,0,0,171.2,36-1318,,,30-Dec,30-Dec,30-Dec
47,361319,03.01.2023,UCC0777,CASH ( LIANG ),CASH ( LIANG ),SGD,0,0,410.5,36-1319,,,31-Dec,31-Dec,31-Dec
