No,Item No.,Item Description,Foreign Name,In Stock,Qty Ordered by Customers,Item Cost,Last Purchase Price,Last Purchase Date,Country of Origin,Inventory Value,Inventory Item,Item Group,Set G/L Accounts By
1,BAO001,BEEF AORTA 20KG/CTNS,???,0,24.35,0,8.2,10.12.2021,,0,Yes,BEEF,Item Group
2,BAU001,BEEF- AUST BLACK AUGUS CHILLED OP RIB/PRIME RIB,,0,0,0,35.5,12.05.2020,,0,Yes,BEEF,Item Group
3,BAU002,BEEF- BONE IN TOMAHAWK (FROZEN),,0,0,0,27.2,26.08.2022,,0,Yes,BEEF,Item Group
4,BAU003,BEEF- OP RIB GF CHD TEYS RIVERINE (AUST-HALAL),,0,0,0,30.51,10.11.2020,,0,Yes,BEEF,Item Group
5,BAU004,BEEF- OP RIB CUT  FROZEN,,0,0,0,23,24.12.2020,,0,Yes,BEEF,Item Group
6,BAU005,BEEF- OP RIB PORTION FROZEN 0.95-1.1KG,,0,0,0,40.65,20.03.2021,,0,Yes,BEEF,Item Group
7,BBA001,BEEF BALL 1kg/pkt (PING PONG),??? ??,152,47,0,9,13.06.2023,,0,Yes,BEEF,Item Group
8,BBA001-01,BEEF & CHICKEN BALL - SWEDISH MEAT BALL 1KG/PKT,"?, ??? 1KG",0,5,0,10.8,09.06.2023,,0,Yes,BEEF,Item Group
9,BBA002,BEEF BALL 500GM/PKT (PING PONG),??? ?? 500GM,0,0,0,8,10.02.2021,,0,Yes,BEEF,Item Group
10,BBC001,BEEF BRISKET CUBE,????,0,0,0,4.5,25.01.2019,,0,Yes,BEEF,Item Group
11,BBC002,BEEF BRISKET CUT STRIPES,????,0,0,0,0,,,0,Yes,BEEF,Item Group
12,BBG001,BEEF- BULGOGI BEEF BURGER 15 X420GM,FARMPRIDE,0,0,0,3.9,15.08.2022,,0,Yes,BEEF,Item Group
13,BBR001,BEEF BRISKET NE (GREENHAM-AUST),?? AUST,55.15,38.48,0,7.5,05.06.2023,,0,Yes,BEEF,Item Group
14,BBR002,BEEF BRISKET PE * (QUALITY BEEF-BRAZIL),?? QUALITY BEEF-BRAZIL,0,0,0,7.3,30.05.2023,,0,Yes,BEEF,Item Group
15,BBR003,BEEF BRISKET PE (THOMAS-AUST) * PCS,?? THOMAS,0,0,0,7.3,04.05.2022,,0,Yes,BEEF,Item Group
16,BBR004,BEEF BRISKET NE (FRIBOI/MAFRIPAR/MONDELI/QULITY),??,0,0,0,7.3,19.05.2022,,0,Yes,BEEF,Item Group
17,BBR005,BEEF BRISKET NE * PCS  (AMG-AUST),??,0,0,0,3,19.04.2017,,0,Yes,BEEF,Item Group
18,BBR006,BEEF BRISKET NE * PCS  (MAFRIPAR-BRAZIL),??,0,0,0,4,22.11.2018,,0,Yes,BEEF,Item Group
19,BBR007,BEEF BRISKET WAGYU * PCS  (CHD-JACKSCREEK),,0,0,0,19.98,23.05.2019,,0,Yes,BEEF,Item Group
20,BBR008,BEEF BRISKET WAGYU PE DECKLE OFF 6RIB BONELESS,BM 9 CHILLED,0,0,0,20,19.10.2020,,0,Yes,BEEF,Item Group
21,BBR009,BEEF BRISKET CHOICE GRADE,,0,0,0,11,07.06.2023,,0,Yes,BEEF,Item Group
