Posting Date,Canceled,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Ref. No.,Item No.,Item/Service Description,Quantity,UoM Code,Price,Row Total
01.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67771,FSB002-03,FISH- FRESH SEABASS 500-600GM,7.8,Manual,6.9,53.82
01.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67771,FSB002-03,FISH- FRESH SEABASS 500-600GM,7.6,Manual,6.9,52.44
01.10.2022,N,UVT0033,TIONG HIN FISH MERCHANT CO,67771,FSB002-01,FISH- FRESH SEABASS 600-700GM,22.7,Manual,6.8,154.36
01.10.2022,N,UVK0008,KEE SONG FOOD CORPORTION (S) PTE LTD,A0037126,CSBL01-03,CHICKEN- KAMPONG CHICKEN WHOLE LEG,6.5,Manual,10.5,68.25
01.10.2022,N,UVB0019,BLU VENTURES PTE LTD,24726,OAB011-02,OTHER- HALF SHELL ABALONE 29pcs/pkt x 10pkt/ctns,10,Manual,29,290
01.10.2022,N,UVS0005,SONG FISH DEALER PTE LTD,22100189,FBE002,FISH- BELT FISH 200-300GM 10KG/CTNS,100,Manual,3.5,350
01.10.2022,N,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,22I21777,SEB001,SEAFOOD- EBI FRY 31/40 22gm/pcs 10pcs/tray,50,Manual,3.5,175
01.10.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,282473,SPH004,SEAFOOD- PRAWN HEAD/SHELL (VANNAMEI) 10x1kg/pkt,150,Manual,1.8,270
01.10.2022,N,UVT0006,THE SEAFOOD COMPANY PTE LTD,282473,SMU002,SEAFOOD- WHOLE MUSSEL 5x1pkt/ctns,100,Manual,5,500
01.10.2022,N,UVN0011,NEW DAWN FROZEN FOOD PTE LTD,22002783,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,"1,400.00",Manual,4,"5,600.00"
01.10.2022,N,UVS0008,COUNTRY FOODS PTE LTD,1213342,OPO006-02,OTHER- CHICKEN POPCORN HOT & SPICY 400gmX12pkt,120,Manual,3.5,420
01.10.2022,N,UVL0026,LEONG HUP DISTRIBUTION PTE LTD,2211397,CWIN01,CHICKEN WING 80-100gm (SEARA/PERDIGAO) 15kg/ctn,15,Manual,58.5,877.5
