No,Document Number,Document Type,Canceled,Posting Date,Item No.,Item/Service Description,Quantity,Price,Row Total
1,5715,I,N,02.11.2022,PSHO07,PORK SHOULDER (FRIMESA) 25KG/CTNS,"1,500.00",2.9,"4,350.00"
2,5715,I,N,02.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,"1,440.00",3.5,"5,040.00"
3,5715,I,N,02.11.2022,PSHO07,PORK SHOULDER (FRIMESA) 25KG/CTNS,125,2.9,362.5
4,5715,I,N,02.11.2022,PFAT04,PORK BACK FAT TONNIES,107.38,2.28,244.83
5,5715,I,N,02.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,060.00",2.4,"2,544.00"
6,5715,I,N,02.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,84,3.5,294
7,5715,I,N,02.11.2022,MBL001-01,MUTTON BONELESS LEG (FLETCHER-AUST),123,10.8,"1,328.40"
8,5715,I,N,02.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,828,4.95,"4,098.60"
9,5715,I,N,02.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,720,3.5,"2,520.00"
10,5715,I,N,02.11.2022,PBEL05-23,PORK BELLY (LANGUIRU-BRAZIL),859.48,4.7,"4,039.56"
11,5716,I,N,03.11.2022,CWHL03,CHICKEN- WHOLE LEG (SEARA/LAR) 15kg/ctn,60,37.5,"2,250.00"
12,5716,I,N,03.11.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,40,36,"1,440.00"
13,5716,I,N,03.11.2022,PBEL05-22,PORK BELLY (BOSELER-GERMANY),962.63,5.35,"5,150.07"
14,5716,I,N,03.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,84,3.5,294
15,5716,I,N,03.11.2022,PSHO03,PORK SHOULDER (SULINA) 18kg/ctn,250,3.3,825
16,5716,I,N,03.11.2022,PTRI02,PORK TRIMMING FRESH,"1,696.20",3,"5,088.60"
17,5716,I,N,03.11.2022,PTRI03,PORK TRIMMING FROZEN,80,2,160
18,5716,I,N,03.11.2022,PLOI04,PORK LOIN (FRIMESA-SA) 25kg/ctn,"1,100.00",3.72,"4,092.00"
19,5716,I,N,03.11.2022,BKN001-02,BEEF KNUCKLE (QUALITY BEEF/GJ/MINERVA-BRAZIL),981.21,7.8,"7,653.44"
20,5716,I,N,03.11.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn *SIF PLANT 1*,756,4.95,"3,742.20"
21,5717,I,N,04.11.2022,BRE006,BEEF RIBEYE / CUBEROLL (MINERVA),188.38,10.57,"1,991.18"
22,5717,I,N,04.11.2022,PLIV07,PORK LIVER (FOOD FAMILY) 10KG/CTNS,"1,500.00",2.5,"3,750.00"
23,5717,I,N,04.11.2022,PLEG05-03,PORK LEG (SULINA) 18kg/ctns,108,3.5,378
24,5717,I,N,04.11.2022,PTRI03,PORK TRIMMING FROZEN,200,2,400
25,5717,I,N,04.11.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,84,46.76,"3,927.84"
26,5717,I,N,04.11.2022,PHOC05-01,PORK HOCK (SULINA) 20kg/ctn,"1,080.00",2.4,"2,592.00"
27,5717,I,N,04.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,80,3.8,304
28,5717,I,N,04.11.2022,PCOL03,PORK COLLAR (PIF PAF) 20KG/CTNS,100,3.8,380
29,5717,I,N,04.11.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,314.1,3.5,"1,099.35"
30,5717,I,N,04.11.2022,PCOL09,PORK COLLAR (AURORA) 10KG/CTNS,67.2,3.9,262.08
31,5717,I,N,04.11.2022,PBEL05-23,PORK BELLY (LANGUIRU-BRAZIL),418.54,4.7,"1,967.14"
32,5717,I,N,04.11.2022,PBEL05-23,PORK BELLY (LANGUIRU-BRAZIL),641.28,4.7,"3,014.02"
33,5687,I,N,12.10.2022,CFEE01,CHICKEN- FRIED CHICKEN FEET 1kgX10pkt,"2,640.00",3.6,"9,504.00"
34,5683,I,N,13.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,36,4.22,151.92
35,5683,I,N,13.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,60,3.9,234
36,5683,I,N,13.10.2022,CWHL09,CHICKEN- WHOLE LEG (AURORA) 15kg/ctn,81,36,"2,916.00"
37,5683,I,N,13.10.2022,PBRB04-02,PORK BRISKET BONE (SMITHFIELD-USA) 13.6kg/ctn,60,46.76,"2,805.60"
38,5683,I,N,13.10.2022,PLEG01,PORK LEG (FRIMESA 90CL-SA) 25kg/ctn,250,3.13,782.5
39,5683,I,N,13.10.2022,PTRI02,PORK TRIMMING FRESH,760,3,"2,280.00"
40,5683,I,N,13.10.2022,PTRI03,PORK TRIMMING FROZEN,"1,032.60",2,"2,065.20"
41,5683,I,N,13.10.2022,PBEL05-20,PORK BELLY (COOPAVEL-BRAZIL),470.09,4.3,"2,021.39"
42,5683,I,N,13.10.2022,PCOL02,PORK COLLAR (SULINA-3975) 12kg/ctn,240,3.9,936
43,5683,I,N,13.10.2022,PSPA09-02,PORK- SPARERIB (SULINA) 18kg/ctn,378,4.94,"1,867.32"
44,5683,I,N,13.10.2022,CBLL01-02,CHICKEN BONELESS LEG 200gmUP (AVIVAR-BRAZIL) 2kgX6pkt,756,4.22,"3,190.32"
45,5683,I,N,13.10.2022,PBEL06-02,PORK BELLY SINGLE SKINLESS (BOSELER-GERMANY) 20X50,252,6.03,"1,519.56"
